,id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
0,481501,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,54995,OXSM,https://ctdbase.org/detail.go?type=gene&acc=54995,,,54995.0,OXSM,10090,Mus musculus (house mouse),High fructose corn syrup results in increased expression of OXSM mRNA,,,PMID:20111022,https://www.ncbi.nlm.nih.gov/pubmed/20111022,20111022,,
1,481655,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,217258,ABCA8A,https://ctdbase.org/detail.go?type=gene&acc=217258,,,217258.0,Abca8a,10090,Mus musculus (house mouse),High fructose corn syrup results in decreased expression of ABCA8A mrna|[sodium glutamate co-treated with high fructose corn syrup] results in decreased expression of ABCA8A mRNA,,,PMID:20111022,https://www.ncbi.nlm.nih.gov/pubmed/20111022,20111022,,
2,481656,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,8714,ABCC3,https://ctdbase.org/detail.go?type=gene&acc=8714,,,8714.0,ABCC3,9685,Felis catus (domestic cat),"[fatty acids, unsaturated co-treated with high fructose corn syrup co-treated with sodium glutamate] results in increased expression of ABCC3 mrna|[fatty acids, unsaturated co-treated with high fructose corn syrup] results in increased expression of ABCC3 mRNA",,,PMID:22144172,https://www.ncbi.nlm.nih.gov/pubmed/22144172,22144172,,
3,481657,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,64241,ABCG8,https://ctdbase.org/detail.go?type=gene&acc=64241,,,64241.0,ABCG8,9685,Felis catus (domestic cat),"[fatty acids, unsaturated co-treated with high fructose corn syrup] results in increased expression of ABCG8 mrna|[fatty acids, unsaturated co-treated with high fructose corn syrup co-treated with sodium glutamate] results in increased expression of ABCG8 mRNA",,,PMID:22144172,https://www.ncbi.nlm.nih.gov/pubmed/22144172,22144172,,
4,481658,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,47,ACLY,https://ctdbase.org/detail.go?type=gene&acc=47,,,47.0,ACLY,9685,Felis catus (domestic cat),"[fatty acids, unsaturated co-treated with high fructose corn syrup] results in decreased expression of ACLY mRNA",,,PMID:22144172,https://www.ncbi.nlm.nih.gov/pubmed/22144172,22144172,,
5,481659,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,10965,ACOT2,https://ctdbase.org/detail.go?type=gene&acc=10965,,,10965.0,ACOT2,10090,Mus musculus (house mouse),[sodium glutamate co-treated with high fructose corn syrup] results in increased expression of ACOT2 mRNA,,,PMID:20111022,https://www.ncbi.nlm.nih.gov/pubmed/20111022,20111022,,
6,481660,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,122970,ACOT4,https://ctdbase.org/detail.go?type=gene&acc=122970,,,122970.0,ACOT4,10090,Mus musculus (house mouse),High fructose corn syrup results in increased expression of ACOT4 mrna|[sodium glutamate co-treated with high fructose corn syrup] results in increased expression of ACOT4 mRNA,,,PMID:20111022,https://www.ncbi.nlm.nih.gov/pubmed/20111022,20111022,,
7,481661,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,81616,ACSBG2,https://ctdbase.org/detail.go?type=gene&acc=81616,,,81616.0,ACSBG2,9685,Felis catus (domestic cat),"[fatty acids, unsaturated co-treated with high fructose corn syrup] results in increased expression of ACSBG2 mRNA",,,PMID:22144172,https://www.ncbi.nlm.nih.gov/pubmed/22144172,22144172,,
8,481662,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,80221,ACSF2,https://ctdbase.org/detail.go?type=gene&acc=80221,,,80221.0,ACSF2,9685,Felis catus (domestic cat),"[fatty acids, unsaturated co-treated with high fructose corn syrup] results in increased expression of ACSF2 mRNA",,,PMID:22144172,https://www.ncbi.nlm.nih.gov/pubmed/22144172,22144172,,
9,481663,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,23305,ACSL6,https://ctdbase.org/detail.go?type=gene&acc=23305,,,23305.0,ACSL6,9685,Felis catus (domestic cat),"[fatty acids, unsaturated co-treated with high fructose corn syrup] results in increased expression of ACSL6 mRNA",,,PMID:22144172,https://www.ncbi.nlm.nih.gov/pubmed/22144172,22144172,,
10,481831,5793,Comparative Toxicogenomics Database (CTD),D-Glucose,D066248,High Fructose Corn Syrup,https://ctdbase.org/detail.go?type=chem&acc=D066248,146,ADRA1D,https://ctdbase.org/detail.go?type=gene&acc=146,,,146.0,ADRA1D,10090,Mus musculus (house mouse),High fructose corn syrup results in increased expression of ADRA1D mRNA,,,PMID:20111022,https://www.ncbi.nlm.nih.gov/pubmed/20111022,20111022,,
