,id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
0,516223,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,3182,HNRNPAB,https://ctdbase.org/detail.go?type=gene&acc=3182,,,3182,HNRNPAB,9606,Homo sapiens (human),[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of and results in increased oxidation of HNRNPAB mrna|[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of and results in increased oxidation of HNRNPAB mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
1,516224,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,3183,HNRNPC,https://ctdbase.org/detail.go?type=gene&acc=3183,,,3183,HNRNPC,9606,Homo sapiens (human),[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in increased expression of and results in increased oxidation of HNRNPC mrna|[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in increased expression of and results in increased oxidation of HNRNPC mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
2,516225,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,9987,HNRNPDL,https://ctdbase.org/detail.go?type=gene&acc=9987,,,9987,HNRNPDL,9606,Homo sapiens (human),[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in increased expression of HNRNPDL mrna|[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in increased expression of HNRNPDL mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
3,516226,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,3187,HNRNPH1,https://ctdbase.org/detail.go?type=gene&acc=3187,,,3187,HNRNPH1,9606,Homo sapiens (human),[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of and results in increased oxidation of HNRNPH1 mrna|[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of and results in increased oxidation of HNRNPH1 mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
4,516376,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,3191,HNRNPL,https://ctdbase.org/detail.go?type=gene&acc=3191,,,3191,HNRNPL,9606,Homo sapiens (human),[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of HNRNPL mrna|[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of HNRNPL mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
5,516377,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,56986,DTWD1,https://ctdbase.org/detail.go?type=gene&acc=56986,,,56986,DTWD1,9606,Homo sapiens (human),[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of DTWD1 mrna|[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of DTWD1 mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
6,516378,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,54920,DUS2,https://ctdbase.org/detail.go?type=gene&acc=54920,,,54920,DUS2,9606,Homo sapiens (human),[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in increased oxidation of DUS2 mrna|[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in increased oxidation of DUS2 mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
7,516379,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,11062,DUS4L,https://ctdbase.org/detail.go?type=gene&acc=11062,,,11062,DUS4L,9606,Homo sapiens (human),[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of DUS4L mrna|[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of DUS4L mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
8,516380,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,1844,DUSP2,https://ctdbase.org/detail.go?type=gene&acc=1844,,,1844,DUSP2,9606,Homo sapiens (human),[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of DUSP2 mrna|[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of DUSP2 mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
9,516381,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,1849,DUSP7,https://ctdbase.org/detail.go?type=gene&acc=1849,,,1849,DUSP7,9606,Homo sapiens (human),[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of DUSP7 mrna|[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of DUSP7 mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
