, id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
0,541222,5997,BindingDB,Cholesterol,20192,"(1S,2R,5S,10S,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol",https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=20192,9818,Oxysterol-binding protein 2,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=9818,Q969R2,Oxysterol-binding protein 2,23762.0,OSBP2,9606.0,Homo sapiens (human),,,,PMID:24742681|DOI:10.1074/jbc.M114.571216,https://www.ncbi.nlm.nih.gov/pubmed/24742681|https://doi.org/10.1074/jbc.M114.571216,24742681,10.1074/jbc.M114.571216,
1,541223,5997,BindingDB,Cholesterol,20192,"(1S,2R,5S,10S,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol",https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=20192,9819,"Oxysterol-binding protein 2 [1-181,275-916]",https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=9819,Q969R2,Oxysterol-binding protein 2,23762.0,OSBP2,9606.0,Homo sapiens (human),,,,PMID:24742681|DOI:10.1074/jbc.M114.571216,https://www.ncbi.nlm.nih.gov/pubmed/24742681|https://doi.org/10.1074/jbc.M114.571216,24742681,10.1074/jbc.M114.571216,
2,576878,5997,DrugBank,Cholesterol,DB04540,Cholesterol,https://www.drugbank.ca/drugs/DB04540,BE0003848,Nuclear receptor subfamily 1 group I member 3,https://www.drugbank.ca/bio_entities/BE0003848,Q14994,Nuclear receptor subfamily 1 group I member 3 ,9970.0,NR1I3,9606.0,Homo sapiens (human),,,,PMID:16051528,https://www.ncbi.nlm.nih.gov/pubmed/16051528,16051528,,
3,576879,5997,DrugBank,Cholesterol,DB04540,Cholesterol,https://www.drugbank.ca/drugs/DB04540,BE0000779,Vitamin D3 receptor,https://www.drugbank.ca/bio_entities/BE0000779,P11473,Vitamin D3 receptor,7421.0,VDR,9606.0,Homo sapiens (human),,,,PMID:16051528,https://www.ncbi.nlm.nih.gov/pubmed/16051528,16051528,,
4,576880,5997,DrugBank,Cholesterol,DB04540,Cholesterol,https://www.drugbank.ca/drugs/DB04540,BE0009096,C-type lectin domain family 4 member E,https://www.drugbank.ca/bio_entities/BE0009096,Q9ULY5,C-type lectin domain family 4 member E,26253.0,CLEC4E,9606.0,Homo sapiens (human),Ligand,,,PMID:26296894,https://www.ncbi.nlm.nih.gov/pubmed/26296894,26296894,,
5,576881,5997,DrugBank,Cholesterol,DB04540,Cholesterol,https://www.drugbank.ca/drugs/DB04540,BE0004545,Nuclear receptor ROR-alpha,https://www.drugbank.ca/bio_entities/BE0004545,P35398,Nuclear receptor ROR-alpha,6095.0,RORA,9606.0,Homo sapiens (human),,,,PMID:10592235|PMID:17139284|PMID:17016423,https://www.ncbi.nlm.nih.gov/pubmed/10592235|https://www.ncbi.nlm.nih.gov/pubmed/17139284|https://www.ncbi.nlm.nih.gov/pubmed/17016423,10592235|17139284|17016423,,
6,576882,5997,DrugBank,Cholesterol,DB04540,Cholesterol,https://www.drugbank.ca/drugs/DB04540,BE0001032,Multidrug resistance protein 1,https://www.drugbank.ca/bio_entities/BE0001032,P08183,ATP-dependent translocase ABCB1,5243.0,ABCB1,9606.0,Homo sapiens (human),Inhibitor,,,PMID:11027568,https://www.ncbi.nlm.nih.gov/pubmed/11027568,11027568,,
7,576883,5997,DrugBank,Cholesterol,DB04540,Cholesterol,https://www.drugbank.ca/drugs/DB04540,BE0001067,ATP-binding cassette sub-family G member 2,https://www.drugbank.ca/bio_entities/BE0001067,Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2,9429.0,ABCG2,9606.0,Homo sapiens (human),Inducer,,,PMID:12668685,https://www.ncbi.nlm.nih.gov/pubmed/12668685,12668685,,
8,625655,5997,BindingDB,Cholesterol,20192,"(1S,2R,5S,10S,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol",https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=20192,8781,TspO-like protein,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=8781,,,,,,,,,,PMID:27990801|DOI:10.1021/acs.biochem.6b01019,https://www.ncbi.nlm.nih.gov/pubmed/27990801|https://doi.org/10.1021/acs.biochem.6b01019,27990801,10.1021/acs.biochem.6b01019,
9,625841,5997,BindingDB,Cholesterol,20192,"(1S,2R,5S,10S,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol",https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=20192,8781,TspO-like protein,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=8781,,,,,,,,,,PMID:27990801|DOI:10.1021/acs.biochem.6b01019,https://www.ncbi.nlm.nih.gov/pubmed/27990801|https://doi.org/10.1021/acs.biochem.6b01019,27990801,10.1021/acs.biochem.6b01019,
