,id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
0,766380,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,51150,SDF4,https://ctdbase.org/detail.go?type=gene&acc=51150,,,51150,SDF4,9606,Homo sapiens (human),[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in increased oxidation of SDF4 mrna|[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in increased oxidation of SDF4 mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
1,766381,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,6389,SDHA,https://ctdbase.org/detail.go?type=gene&acc=6389,,,6389,SDHA,9606,Homo sapiens (human),[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of SDHA mrna|[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of SDHA mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
2,766382,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,6390,SDHB,https://ctdbase.org/detail.go?type=gene&acc=6390,,,6390,SDHB,9606,Homo sapiens (human),[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of SDHB mrna|[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of SDHB mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
3,766578,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,6397,SEC14L1,https://ctdbase.org/detail.go?type=gene&acc=6397,,,6397,SEC14L1,9606,Homo sapiens (human),[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in increased oxidation of SEC14L1 mrna|[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in increased oxidation of SEC14L1 mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
4,766579,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,9919,SEC16A,https://ctdbase.org/detail.go?type=gene&acc=9919,,,9919,SEC16A,9606,Homo sapiens (human),[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in increased oxidation of SEC16A mrna|[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in increased oxidation of SEC16A mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
5,766580,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,9632,SEC24C,https://ctdbase.org/detail.go?type=gene&acc=9632,,,9632,SEC24C,9606,Homo sapiens (human),[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in increased oxidation of SEC24C mrna|[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in increased oxidation of SEC24C mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
6,766581,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,25956,SEC31B,https://ctdbase.org/detail.go?type=gene&acc=25956,,,25956,SEC31B,9606,Homo sapiens (human),[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of SEC31B mrna|[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of SEC31B mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
7,766582,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,81929,SEH1L,https://ctdbase.org/detail.go?type=gene&acc=81929,,,81929,SEH1L,9606,Homo sapiens (human),[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in increased oxidation of SEH1L mrna|[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in increased oxidation of SEH1L mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
8,766583,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,8991,SELENBP1,https://ctdbase.org/detail.go?type=gene&acc=8991,,,8991,SELENBP1,9606,Homo sapiens (human),[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in increased oxidation of SELENBP1 mrna|[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in increased oxidation of SELENBP1 mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
9,766584,6654,Comparative Toxicogenomics Database (CTD),alpha-PINENE,C005451,alpha-pinene,https://ctdbase.org/detail.go?type=chem&acc=C005451,6405,SEMA3F,https://ctdbase.org/detail.go?type=gene&acc=6405,,,6405,SEMA3F,9606,Homo sapiens (human),[acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone] results in decreased expression of SEMA3F mrna|[air pollutants results in increased abundance of [acrolein co-treated with methacrylaldehyde co-treated with alpha-pinene co-treated with ozone]] which results in decreased expression of SEMA3F mRNA,,,PMID:32699268,https://www.ncbi.nlm.nih.gov/pubmed/32699268,32699268,,
