, id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
0,1545239,73145,Comparative Toxicogenomics Database (CTD),Beta-Amyrin,C036380,beta-amyrin,https://ctdbase.org/detail.go?type=chem&acc=C036380,383,ARG1,https://ctdbase.org/detail.go?type=gene&acc=383,,,383,ARG1,10090,Mus musculus (house mouse),Beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in decreased expression of ARG1 mrna],,,PMID:29501766,https://www.ncbi.nlm.nih.gov/pubmed/29501766,29501766,,
1,1545240,73145,Comparative Toxicogenomics Database (CTD),Beta-Amyrin,C036380,beta-amyrin,https://ctdbase.org/detail.go?type=chem&acc=C036380,836,CASP3,https://ctdbase.org/detail.go?type=gene&acc=836,,,836,CASP3,10116,Rattus norvegicus (Norway rat),Beta-amyrin inhibits the reaction [dimethylnitrosamine results in increased expression of CASP3 mrna]|beta-amyrin inhibits the reaction [dimethylnitrosamine results in increased cleavage of CASP3 protein],,,PMID:27009110,https://www.ncbi.nlm.nih.gov/pubmed/27009110,27009110,,
2,1545241,73145,Comparative Toxicogenomics Database (CTD),Beta-Amyrin,C036380,beta-amyrin,https://ctdbase.org/detail.go?type=chem&acc=C036380,3458,IFNG,https://ctdbase.org/detail.go?type=gene&acc=3458,,,3458,IFNG,10090,Mus musculus (house mouse),Beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of IL1B protein]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of PTGS2 mrna]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of IL6 mrna]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of IL1B mrna]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in decreased expression of ARG1 mrna]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of TNF mrna]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of TNF protein]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of NOS2 mrna]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of IL6 protein],,,PMID:29501766,https://www.ncbi.nlm.nih.gov/pubmed/29501766,29501766,,
3,1545242,73145,Comparative Toxicogenomics Database (CTD),Beta-Amyrin,C036380,beta-amyrin,https://ctdbase.org/detail.go?type=chem&acc=C036380,3553,IL1B,https://ctdbase.org/detail.go?type=gene&acc=3553,,,3553,IL1B,10090,Mus musculus (house mouse),Beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of IL1B mrna]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of IL1B protein],,,PMID:29501766,https://www.ncbi.nlm.nih.gov/pubmed/29501766,29501766,,
4,1545459,73145,Comparative Toxicogenomics Database (CTD),Beta-Amyrin,C036380,beta-amyrin,https://ctdbase.org/detail.go?type=chem&acc=C036380,3569,IL6,https://ctdbase.org/detail.go?type=gene&acc=3569,,,3569,IL6,10090,Mus musculus (house mouse),Beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of IL6 protein]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of IL6 mrna],,,PMID:29501766,https://www.ncbi.nlm.nih.gov/pubmed/29501766,29501766,,
5,1545460,73145,Comparative Toxicogenomics Database (CTD),Beta-Amyrin,C036380,beta-amyrin,https://ctdbase.org/detail.go?type=chem&acc=C036380,4843,NOS2,https://ctdbase.org/detail.go?type=gene&acc=4843,,,4843,NOS2,10090,Mus musculus (house mouse),Beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of NOS2 mrna],,,PMID:29501766,https://www.ncbi.nlm.nih.gov/pubmed/29501766,29501766,,
6,1545461,73145,Comparative Toxicogenomics Database (CTD),Beta-Amyrin,C036380,beta-amyrin,https://ctdbase.org/detail.go?type=chem&acc=C036380,5743,PTGS2,https://ctdbase.org/detail.go?type=gene&acc=5743,,,5743,PTGS2,10090,Mus musculus (house mouse),Beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of PTGS2 mrna],,,PMID:29501766,https://www.ncbi.nlm.nih.gov/pubmed/29501766,29501766,,
7,1545462,73145,Comparative Toxicogenomics Database (CTD),Beta-Amyrin,C036380,beta-amyrin,https://ctdbase.org/detail.go?type=chem&acc=C036380,6869,TACR1,https://ctdbase.org/detail.go?type=gene&acc=6869,,,6869,TACR1,10090,Mus musculus (house mouse),[alpha-amyrin co-treated with beta-amyrin] inhibits the reaction [cyclophosphamide results in increased expression of TACR1 protein],,,PMID:18210232,https://www.ncbi.nlm.nih.gov/pubmed/18210232,18210232,,
8,1545463,73145,Comparative Toxicogenomics Database (CTD),Beta-Amyrin,C036380,beta-amyrin,https://ctdbase.org/detail.go?type=chem&acc=C036380,7076,TIMP1,https://ctdbase.org/detail.go?type=gene&acc=7076,,,7076,TIMP1,10116,Rattus norvegicus (Norway rat),Beta-amyrin inhibits the reaction [dimethylnitrosamine results in increased expression of TIMP1 protein],,,PMID:27009110,https://www.ncbi.nlm.nih.gov/pubmed/27009110,27009110,,
9,1545464,73145,Comparative Toxicogenomics Database (CTD),Beta-Amyrin,C036380,beta-amyrin,https://ctdbase.org/detail.go?type=chem&acc=C036380,7124,TNF,https://ctdbase.org/detail.go?type=gene&acc=7124,,,7124,TNF,10090,Mus musculus (house mouse),Beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of TNF mrna]|beta-amyrin inhibits the reaction [[lipopolysaccharides co-treated with IFNG protein] results in increased expression of TNF protein],,,PMID:29501766,https://www.ncbi.nlm.nih.gov/pubmed/29501766,29501766,,
