,id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
0,1558090,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,2919,CXCL1,https://ctdbase.org/detail.go?type=gene&acc=2919,,,2919,CXCL1,10090,Mus musculus (house mouse),Maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased expression of CXCL1 mrna],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
1,1558091,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,2920,CXCL2,https://ctdbase.org/detail.go?type=gene&acc=2920,,,2920,CXCL2,10090,Mus musculus (house mouse),Maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased expression of CXCL2 mrna]|maslinic acid analog inhibits the reaction [tetradecanoylphorbol acetate results in increased expression of CXCL2 mrna],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
2,1558092,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,3480,IGF1R,https://ctdbase.org/detail.go?type=gene&acc=3480,,,3480,IGF1R,10090,Mus musculus (house mouse),Maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased phosphorylation of IGF1R protein],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
3,1558275,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,3605,IL17A,https://ctdbase.org/detail.go?type=gene&acc=3605,,,3605,IL17A,10090,Mus musculus (house mouse),Maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased expression of IL17A mrna],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
4,1558276,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,50616,IL22,https://ctdbase.org/detail.go?type=gene&acc=50616,,,50616,IL22,10090,Mus musculus (house mouse),Maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased expression of IL22 mrna],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
5,1558277,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,3725,JUN,https://ctdbase.org/detail.go?type=gene&acc=3725,,,3725,JUN,10090,Mus musculus (house mouse),Maslinic acid analog inhibits the reaction [tetradecanoylphorbol acetate results in increased phosphorylation of JUN protein]|maslinic acid analog inhibits the reaction [tetradecanoylphorbol acetate results in decreased expression of JUN protein]|maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased phosphorylation of JUN protein],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
6,1558278,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,27250,PDCD4,https://ctdbase.org/detail.go?type=gene&acc=27250,,,27250,PDCD4,10090,Mus musculus (house mouse),Maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in decreased expression of PDCD4 protein],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
7,1558279,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,5743,PTGS2,https://ctdbase.org/detail.go?type=gene&acc=5743,,,5743,PTGS2,10090,Mus musculus (house mouse),Maslinic acid analog inhibits the reaction [tetradecanoylphorbol acetate results in increased expression of PTGS2 protein]|maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased expression of PTGS2 mrna]|maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased expression of PTGS2 protein],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
8,1558280,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,6714,SRC,https://ctdbase.org/detail.go?type=gene&acc=6714,,,6714,SRC,10090,Mus musculus (house mouse),Maslinic acid analog inhibits the reaction [tetradecanoylphorbol acetate results in increased phosphorylation of SRC protein]|maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased phosphorylation of SRC protein],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
9,1558281,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,6774,STAT3,https://ctdbase.org/detail.go?type=gene&acc=6774,,,6774,STAT3,10090,Mus musculus (house mouse),Maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased phosphorylation of STAT3 protein]|maslinic acid analog inhibits the reaction [tetradecanoylphorbol acetate results in increased phosphorylation of STAT3 protein],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
10,1558282,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,6794,STK11,https://ctdbase.org/detail.go?type=gene&acc=6794,,,6794,STK11,10090,Mus musculus (house mouse),Maslinic acid analog inhibits the reaction [tetradecanoylphorbol acetate results in decreased phosphorylation of STK11 protein]|maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in decreased phosphorylation of STK11 protein],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
11,1558283,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,8408,ULK1,https://ctdbase.org/detail.go?type=gene&acc=8408,,,8408,ULK1,10090,Mus musculus (house mouse),[maslinic acid analog co-treated with tetradecanoylphorbol acetate] results in increased phosphorylation of ULK1 protein,,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
12,1558489,73659,Comparative Toxicogenomics Database (CTD),Maslinic Acid,C412811,maslinic acid,https://ctdbase.org/detail.go?type=chem&acc=C412811,7422,VEGFA,https://ctdbase.org/detail.go?type=gene&acc=7422,,,7422,VEGFA,10090,Mus musculus (house mouse),Maslinic acid inhibits the reaction [tetradecanoylphorbol acetate results in increased expression of VEGFA mrna],,,PMID:26513295,https://www.ncbi.nlm.nih.gov/pubmed/26513295,26513295.0,,
