chembl_id,drug_name,activity_id,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_name,target_organism,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_comment,data_validity_comment
CHEMBL2,PRAZOSIN,33093,CHEMBL643853,Antagonistic potency of compound for Alpha-1 adrenergic receptor,F,CHEMBL1907610,Adrenergic receptor alpha-1,Rattus norvegicus,Kd,=,1.995,nM,8.70,,
CHEMBL2,PRAZOSIN,33094,CHEMBL641370,Antagonistic potency of compound for Alpha-2 adrenergic receptor,F,CHEMBL2093864,Adrenergic receptor alpha-2,Rattus norvegicus,Kd,=,2511.89,nM,5.60,,
CHEMBL2,PRAZOSIN,34164,CHEMBL646168,Compound was tested for its binding affinity towards Alpha-1A adrenergic receptor using [3H]prazosin from rat submaxillary gland,B,CHEMBL319,Alpha-1A adrenergic receptor,Rattus norvegicus,Ki,=,1.05,nM,8.98,,
CHEMBL2,PRAZOSIN,34165,CHEMBL647286,Compound was tested for its binding affinity towards Alpha-1B adrenergic receptor using [3H]prazosin from rat liver,B,CHEMBL315,Alpha-1B adrenergic receptor,Rattus norvegicus,Ki,=,2.93,nM,8.53,,
CHEMBL2,PRAZOSIN,56881,CHEMBL644561,Antagonism against Alpha-1 adrenergic receptor of rat aorta,F,CHEMBL1907610,Adrenergic receptor alpha-1,Rattus norvegicus,Kd,=,0.04169,nM,10.38,,
CHEMBL2,PRAZOSIN,106599,CHEMBL651984,Binding affinity by its ability to displace [3H]prazosin radioligand from Alpha-1 adrenergic receptor on rat cerebral cortex,B,CHEMBL1907610,Adrenergic receptor alpha-1,Rattus norvegicus,Ki,=,0.24,nM,9.62,,
CHEMBL3,NICOTINE,88888,CHEMBL756002,Binding potency for Nicotinic acetylcholine receptor alpha4-beta2 (rat brain),B,CHEMBL1907596,Neuronal acetylcholine receptor; alpha4/beta2,Rattus norvegicus,Ki,=,1.05,nM,8.98,,
CHEMBL3,NICOTINE,88889,CHEMBL749563,Binding potency for Nicotinic acetylcholine receptor alpha-7 (rat brain),B,CHEMBL4980,Neuronal acetylcholine receptor subunit alpha-7,Rattus norvegicus,Ki,=,4000.0,nM,5.40,,
CHEMBL3,NICOTINE,88890,CHEMBL822797,Binding potency for nAChR subtype Alpha-1-beta-1-delta-gamma (torpedo),B,CHEMBL2096975,Acetylcholine receptor,Torpedo californica,Ki,>,10000.0,nM,,,
CHEMBL3,NICOTINE,88891,CHEMBL755476,Functional potency for Nicotinic acetylcholine receptor alpha4-beta2 (rat brain),B,CHEMBL1907596,Neuronal acetylcholine receptor; alpha4/beta2,Rattus norvegicus,EC50,=,4000.0,nM,5.40,,
CHEMBL3,NICOTINE,88892,CHEMBL751077,Functional potency for Nicotinic acetylcholine receptor alpha-7 (rat brain),B,CHEMBL4980,Neuronal acetylcholine receptor subunit alpha-7,Rattus norvegicus,EC50,=,54000.0,nM,4.27,,
CHEMBL3,NICOTINE,88893,CHEMBL822795,Functional potency for nAChR subtype Alpha-1-beta-1-delta gamma(torpedo),B,CHEMBL2096975,Acetylcholine receptor,Torpedo californica,EC50,=,60000.0,nM,4.22,,
CHEMBL404,TAZOBACTAM,59899,CHEMBL876650,In vitro inhibitory activity against Class A (TEM-1) beta-Lactamases,B,CHEMBL2065,Beta-lactamase TEM,Escherichia coli,IC50,=,100.0,nM,7.00,,
CHEMBL404,TAZOBACTAM,59900,CHEMBL653466,In vitro inhibitory activity against Class A (Imi-1) beta-Lactamases,B,CHEMBL5219,IMI-1,Enterobacter cloacae,IC50,=,30.0,nM,7.52,,
CHEMBL404,TAZOBACTAM,59902,CHEMBL652839,In vitro inhibitory activity against Class C (Amp-C) beta-Lactamases,B,CHEMBL2026,Beta-lactamase,Escherichia coli K-12,IC50,=,84000.0,nM,4.08,,
CHEMBL404,TAZOBACTAM,155840,CHEMBL809097,Inhibitory activity against class A TEM-1 beta-lactamase,B,CHEMBL2026,Beta-lactamase,Escherichia coli K-12,IC50,=,250.0,nM,6.60,,
CHEMBL404,TAZOBACTAM,284133,CHEMBL652852,In vitro inhibitory activity against Beta-lactamase TEM-1 of class A enzyme,B,CHEMBL2725,Beta-lactamase,Enterobacter cloacae,IC50,=,100.0,nM,7.00,,
CHEMBL404,TAZOBACTAM,284134,CHEMBL652851,In vitro inhibitory activity against Beta-lactamase AmpC of class C enzyme,B,CHEMBL2725,Beta-lactamase,Enterobacter cloacae,IC50,=,48000.0,nM,4.32,,
CHEMBL404,TAZOBACTAM,343075,CHEMBL656487,Inhibitory activity against Citrobacter freundii 87470 Class-I beta-lactamase enzyme,B,CHEMBL1255130,Beta-lactamase,Citrobacter freundii,IC50,=,0.05,ug.mL-1,,,
CHEMBL404,TAZOBACTAM,343076,CHEMBL652631,Inhibitory activity against Enterobacter cloacae HC8 Class-I beta-lactamase enzyme type P99,B,CHEMBL2725,Beta-lactamase,Enterobacter cloacae,IC50,=,0.1,ug.mL-1,,,
CHEMBL405,AMPHETAMINE,232896,CHEMBL619177,Affinity against 5-hydroxytryptamine receptors in rat fundus model,B,CHEMBL2094123,Serotonin (5-HT) receptor,Rattus norvegicus,Kd,=,5370.32,nM,5.27,,
CHEMBL405,AMPHETAMINE,234104,CHEMBL615400,Evaluated for binding affinity towards rat cortical membranes at 5-hydroxytryptamine 1 receptor binding site by using [3H]-5-HT as a radioligand.,B,CHEMBL2095159,Serotonin 1 (5-HT1) receptor,Rattus norvegicus,Ki,=,7660.0,nM,5.12,,
CHEMBL405,AMPHETAMINE,234105,CHEMBL617444,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 (5-HT2) receptor using [3H]KET as a radioligand,B,CHEMBL2093870,Serotonin 2 (5-HT2) receptor,Rattus norvegicus,Ki,=,43000.0,nM,4.37,,
