chembl_id,drug_name,mesh_id,mesh_heading,efo_id,efo_term,max_phase_for_ind,indication_refs
CHEMBL2,PRAZOSIN,D006973,Hypertension,EFO:0000537,hypertension,4.0,C02CA01
CHEMBL2,PRAZOSIN,D013313,"""Stress Disorders, Post-Traumatic""",EFO:0001358,post-traumatic stress disorder,3.0,"""NCT00744055,NCT03539614,NCT05189977"""
CHEMBL2,PRAZOSIN,D014029,Tobacco Use Disorder,EFO:0003768,nicotine dependence,2.0,"""NCT01642433,NCT02193256"""
CHEMBL2,PRAZOSIN,D019969,Amphetamine-Related Disorders,EFO:0004701,methamphetamine dependence,2.0,NCT01178138
CHEMBL2,PRAZOSIN,D001750,"""Urinary Bladder, Neurogenic""",HP:0000011,Neurogenic bladder,1.0,NCT00602186
CHEMBL2,PRAZOSIN,D001007,Anxiety,EFO:0005230,anxiety,1.0,NCT03894345
CHEMBL2,PRAZOSIN,D007669,Kidney Calculi,EFO:0004253,nephrolithiasis,3.0,NCT00713739
CHEMBL2,PRAZOSIN,D013375,Substance Withdrawal Syndrome,EFO:0004777,alcohol withdrawal,1.0,NCT04793685
CHEMBL2,PRAZOSIN,D045169,Severe Acute Respiratory Syndrome,MONDO:0100096,COVID-19,2.0,NCT04365257
CHEMBL2,PRAZOSIN,D000437,Alcoholism,MONDO:0007079,alcohol dependence,3.0,"""NCT00585780,NCT00744055,NCT00762710,NCT02193256,NCT02966340"""
CHEMBL3,NICOTINE,D014029,Tobacco Use Disorder,EFO:0003768,nicotine dependence,4.0,"""N07BA01; NCT00000437,NCT00018148,NCT00018161,NCT00018187,NCT00046813,NCT00061074,NCT00064844,NCT00067158,NCT00086411,NCT00108537,NCT00132236,NCT00218283,NCT00218296,NCT00296647,NCT00326781,NCT00332644,NCT00364156,NCT00392379,NCT00469079,NCT00507975,NCT00586482,NCT00657020,NCT00664755,NCT00710034,NCT00715871,NCT00734617,NCT00749463,NCT00755716,NCT00777569,NCT00831155,NCT00879918,NCT00956943,NCT00960778,NCT00969137,NCT00985985,NCT01018394,NCT01034020,NCT01047527,NCT01048944,NCT01050569,NCT01056926,NCT01058876,NCT01065506,NCT01091363,NCT01104896,NCT01136642,NCT01184664,NCT01199380,NCT01208935,NCT01296698,NCT01303861,NCT01314001,NCT01321931,NCT01351766,NCT01372254,NCT01406223,NCT01417429,NCT01438944,NCT01444131,NCT01478230,NCT01484717,NCT01495819,NCT01506908,NCT01560507,NCT01592695,NCT01621022,NCT01654107,NCT01664741,NCT01702519,NCT01783912,NCT01806779,NCT01867411,NCT01892813,NCT01926626,NCT01932996,NCT01980550,NCT01989507,NCT02019459,NCT02147132,NCT02162849,NCT02179034,NCT02232737,NCT02245308,NCT02250534,NCT02250664,NCT02271919,NCT02355665,NCT02371850,NCT02439944,NCT02482233,NCT02487953,NCT02501265,NCT02511704,NCT02587312,NCT02681510,NCT02840435,NCT02905734,NCT02906644,NCT02927847,NCT02964182,NCT03000387,NCT03069482,NCT03163303,NCT03168191,NCT03176784,NCT03243630,NCT03262233,NCT03272685,NCT03421210,NCT03442413,NCT03492463,NCT03521141,NCT03538938,NCT03541044,NCT03543137,NCT03580525,NCT03611881,NCT03612960,NCT03634839,NCT03635333,NCT03809897,NCT03860077,NCT03879889,NCT03972137,NCT04003805,NCT04033237,NCT04084210,NCT04262817,NCT04490057,NCT04521647,NCT04535362,NCT04606797,NCT04696380,NCT04709471,NCT04740008,NCT04974580,NCT04994444,NCT04999644,NCT05024747,NCT05060965,NCT05159934,NCT05176418,NCT05224050,NCT05233228,NCT05253573,NCT05351606,NCT05487807,NCT05587361,NCT05627596,NCT05665465,NCT06053567,NCT06259630"""
