chembl_id,drug_name,mechanism_of_action,action_type,target_chembl_id,target_name,target_type,binding_site,direct_interaction,molecular_mechanism,disease_efficacy,mechanism_comment,selectivity_comment,references
CHEMBL3,NICOTINE,Neuronal acetylcholine receptor; alpha4/beta2 agonist,AGONIST,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,,1,1,1,,,11006350; 16636791; 16754836; 17146052; 17226798; 17360707; 17590520; 17613539; 19560048; 20081230; 20400469
CHEMBL4,OFLOXACIN,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,Bacterial DNA gyrase,PROTEIN COMPLEX,,1,1,1,,,setid=81e8ece1-ab0b-4deb-8f84-79f21419b328
CHEMBL5,NALIDIXIC ACID,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,Bacterial DNA gyrase,PROTEIN COMPLEX,,1,1,1,,,label/2012/014214s060lbl.pdf
CHEMBL6,INDOMETHACIN,Cyclooxygenase inhibitor,INHIBITOR,CHEMBL2094253,Cyclooxygenase,PROTEIN FAMILY,,1,1,1,,,"""label/2007/016059s097,017814s040,018332s030lbl.pdf; 9780702034718 PP. 319-320"""
CHEMBL8,CIPROFLOXACIN,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,Bacterial DNA gyrase,PROTEIN COMPLEX,,1,1,1,,,label/2009/021918lbl.pdf
CHEMBL8,CIPROFLOXACIN,Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2363076,Topoisomerase IV,PROTEIN COMPLEX,,1,1,1,,,label/2019/021473s040lbl.pdf
CHEMBL9,NORFLOXACIN,Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2363076,Topoisomerase IV,PROTEIN COMPLEX,,1,1,1,,Broad spectrum,label/2013/019384s066lbl.pdf
CHEMBL9,NORFLOXACIN,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,Bacterial DNA gyrase,PROTEIN COMPLEX,,1,1,1,,,label/2013/019384s066lbl.pdf
CHEMBL405,AMPHETAMINE,Dopamine transporter releasing agent,RELEASING AGENT,CHEMBL238,Sodium-dependent dopamine transporter,SINGLE PROTEIN,,1,1,1,,,D07445; 15602501; 15795321
CHEMBL405,AMPHETAMINE,Norepinephrine transporter releasing agent,RELEASING AGENT,CHEMBL222,Sodium-dependent noradrenaline transporter,SINGLE PROTEIN,,1,1,1,,,D07445
