drug_chembl_id,drug_name,substrate_chembl_id,substrate_name,metabolite_chembl_id,metabolite_name,enzyme_name,enzyme_tid,organism,pathway_id,pathway_key,met_conversion,met_comment,references
CHEMBL417,PRAZOSIN,CHEMBL3508141,"""Epidoxorubicinol, 4'-epiadriamycinol""",CHEMBL3508152,Doxorubicinol aglycone,,,Homo sapiens,1,"Fig. 2, p.19",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
CHEMBL417,PRAZOSIN,CHEMBL417,Epirubicin,CHEMBL3508144,7d-Aon,,,Homo sapiens,1,"Fig. 2, p.19",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
CHEMBL417,PRAZOSIN,CHEMBL417,Epirubicin,CHEMBL3508153,Doxorubicin aglycone,,,Homo sapiens,1,"Fig. 2, p.19",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
CHEMBL417,PRAZOSIN,CHEMBL417,Epirubicin,CHEMBL6067664,Epirubicin glucuronide,,,Homo sapiens,1,"Fig. 2, p.19",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
CHEMBL417,PRAZOSIN,CHEMBL417,Epirubicin,CHEMBL3508141,"""Epidoxorubicinol, 4'-epiadriamycinol""",,,Homo sapiens,1,"Fig. 2, p.19",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
CHEMBL417,PRAZOSIN,CHEMBL3508141,"""Epidoxorubicinol, 4'-epiadriamycinol""",CHEMBL6067664,Epirubicinol glucuronide,,,Homo sapiens,1,"Fig. 2, p.19",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
CHEMBL417,PRAZOSIN,CHEMBL3508141,"""Epidoxorubicinol, 4'-epiadriamycinol""",CHEMBL3508143,7d-Aolon,,,Homo sapiens,1,"Fig. 2, p.19",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507701,Metabolite M4,,,Homo sapiens,3,"Fig. 9, p164/165",O-dealkylation,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf; http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507701,Metabolite M4,,,Callithrix jacchus,2,"Fig. 2.1.4.1, p.46",O-demethylation of the methoxypropoxy side chain,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507701,Metabolite M4,,,Homo sapiens,1,"Fig. 2, p.19",Oxidative dealkylation,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
