target_chembl_id,pref_name,target_type,organism,tax_id,gene_names,uniprot_accessions,target_components,target_family,target_class,protein_class
CHEMBL1907610,Adrenergic receptor alpha-1,PROTEIN FAMILY,Rattus norvegicus,10116,,P15823; P23944; P43140,3,,,
CHEMBL2093864,Adrenergic receptor alpha-2,PROTEIN FAMILY,Rattus norvegicus,10116,,P22086; P19328; P22909,3,,,
CHEMBL319,Alpha-1A adrenergic receptor,SINGLE PROTEIN,Rattus norvegicus,10116,,P43140,1,,,
CHEMBL315,Alpha-1B adrenergic receptor,SINGLE PROTEIN,Rattus norvegicus,10116,,P15823,1,,,
CHEMBL3253,Albumin,SINGLE PROTEIN,Homo sapiens,9606,,P02768,1,,,
CHEMBL339,D(2) dopamine receptor,SINGLE PROTEIN,Rattus norvegicus,10116,,P61169,1,,,
CHEMBL1907596,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,Rattus norvegicus,10116,,P09483; P12390,2,,,
CHEMBL4980,Neuronal acetylcholine receptor subunit alpha-7,SINGLE PROTEIN,Rattus norvegicus,10116,,Q05941,1,,,
CHEMBL2096975,Acetylcholine receptor,PROTEIN COMPLEX,Torpedo californica,7787,,P02710; P02712; P02718; P02714,4,,,
CHEMBL612545,Unchecked,UNCHECKED,,,,,0,,,
CHEMBL352,Staphylococcus aureus,ORGANISM,Staphylococcus aureus,1280,,,0,,,
CHEMBL353,Staphylococcus epidermidis,ORGANISM,Staphylococcus epidermidis,1282,,,0,,,
CHEMBL362,Enterococcus faecalis,ORGANISM,Enterococcus faecalis,1351,,,0,,,
CHEMBL614421,Micrococcus luteus,ORGANISM,Micrococcus luteus,1270,,,0,,,
CHEMBL354,Escherichia coli,ORGANISM,Escherichia coli,562,,,0,,,
CHEMBL350,Klebsiella pneumoniae,ORGANISM,Klebsiella pneumoniae,573,,,0,,,
CHEMBL348,Pseudomonas aeruginosa,ORGANISM,Pseudomonas aeruginosa,287,,,0,,,
CHEMBL2094139,DNA gyrase,PROTEIN COMPLEX,Escherichia coli,562,,P0AES6; P0AES4,2,,,
CHEMBL349,Enterobacter cloacae,ORGANISM,Enterobacter cloacae,550,,,0,,,
CHEMBL612537,Providencia rettgeri,ORGANISM,Providencia rettgeri,587,,,0,,,
CHEMBL2096674,Cyclooxygenase,PROTEIN FAMILY,Bos taurus,9913,,O62664; O62698,2,,,
CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,10116,,,0,,,
CHEMBL2362975,No relevant target,NO TARGET,,,,,0,,,
CHEMBL369,Cavia porcellus,ORGANISM,Cavia porcellus,10141,,,0,,,
CHEMBL1744492,Beta lactamase TEM-1,SINGLE PROTEIN,Klebsiella pneumoniae,573,,Q7B899,1,,,
CHEMBL4114,Beta-lactamase,SINGLE PROTEIN,Staphylococcus aureus,1280,,P00807,1,,,
CHEMBL4840,Metallo-beta-lactamase type 2,SINGLE PROTEIN,Bacteroides fragilis,817,,P25910,1,,,
CHEMBL375,Mus musculus,ORGANISM,Mus musculus,10090,,,0,,,
CHEMBL2065,Beta-lactamase TEM,SINGLE PROTEIN,Escherichia coli,562,,P62593,1,,,
CHEMBL5219,IMI-1,SINGLE PROTEIN,Enterobacter cloacae,550,,Q46991,1,,,
CHEMBL2026,Beta-lactamase,SINGLE PROTEIN,Escherichia coli K-12,83333,,P00811,1,,,
CHEMBL2725,Beta-lactamase,SINGLE PROTEIN,Enterobacter cloacae,550,,P05364,1,,,
CHEMBL1255130,Beta-lactamase,SINGLE PROTEIN,Citrobacter freundii,546,,P05193,1,,,
CHEMBL614595,Shigella sonnei,ORGANISM,Shigella sonnei,624,,,0,,,
CHEMBL614395,Shigella boydii,ORGANISM,Shigella boydii,621,,,0,,,
CHEMBL614405,Plesiomonas shigelloides,ORGANISM,Plesiomonas shigelloides,703,,,0,,,
CHEMBL614443,Morganella morganii,ORGANISM,Morganella morganii,582,,,0,,,
CHEMBL612621,Vibrio mimicus,ORGANISM,Vibrio mimicus,674,,,0,,,
CHEMBL614602,Vibrio fluvialis,ORGANISM,Vibrio fluvialis,676,,,0,,,
CHEMBL612558,ADMET,ADMET,,,,,0,,,
CHEMBL2094123,Serotonin (5-HT) receptor,PROTEIN FAMILY,Rattus norvegicus,10116,,P35563; P35365; P32305; P31388; Q9JJ16; P28564; P30994; Q62758; P08909; P14842; P30940; P35364; P19327; P28565,14,,,
CHEMBL2095159,Serotonin 1 (5-HT1) receptor,PROTEIN FAMILY,Rattus norvegicus,10116,,P28564; P30940; P19327; P28565,4,,,
CHEMBL2093870,Serotonin 2 (5-HT2) receptor,PROTEIN FAMILY,Rattus norvegicus,10116,,P30994; P08909; P14842,3,,,
