chembl_id,pref_name,synonyms,smiles,inchi,inchi_key,molecular_formula,molecular_weight,alogp,logd,hba,hbd,psa,rtb,ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,cx_logp,cx_logd,molecular_species,natural_product,prodrug,polymer_flag,molecule_type,max_phase,first_approval,oral_bioavailability,indication_class,therapeutic_areas,parent_molecule_chembl_id,structure_type,chirality,black_box_warning
CHEMBL2,PRAZOSIN,CP-122991; Prazosin; Prazosin; Prazosin; Prazosin; Prazosin; Prazosina; Prazosine,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,"InChI=1S/C19H21N5O4/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14/h3-4,9-11H,5-8H2,1-2H3,(H2,20,21,22)",IENZQIKPVFGBNW-UHFFFAOYSA-N,C19H21N5O4,383.41,1.78,,8,1,106.95,4,0,3,28,0.73,,,,1,0,0,Small molecule,4.0,1976,True,Neurogenic bladder; nephrolithiasis; alcohol dependence; nicotine dependence; post-traumatic stress disorder; alcohol withdrawal; anxiety; COVID-19; hypertension; methamphetamine dependence,"""Stress Disorders, Post-Traumatic; Severe Acute Respiratory Syndrome; Anxiety; Alcoholism; Tobacco Use Disorder; Amphetamine-Related Disorders; Substance Withdrawal Syndrome; Urinary Bladder, Neurogenic; Hypertension; Kidney Calculi""",CHEMBL2,MOL,,False
CHEMBL6355,,,O=c1oc2ccccc2c2ccccc12,InChI=1S/C13H8O2/c14-13-11-7-2-1-5-9(11)10-6-3-4-8-12(10)15-13/h1-8H,TVKNXKLYVUVOCV-UHFFFAOYSA-N,C13H8O2,196.21,2.95,,2,0,30.21,0,0,3,15,0.41,,,,1,-1,0,Small molecule,,,False,,,CHEMBL6355,MOL,,False
CHEMBL216458,ALPHA-BUNGAROTOXIN,,C=C(C=O)C[C@H]1C[C@H](O)[C@]2(C)O[C@@H]3C[C@@H]4O[C@@H]5C[C@]6(C)O[C@]7(C)CC[C@@H]8O[C@@H]9C[C@]%10(C)O[C@@H]%11C(C)=CC(=O)O[C@H]%11C[C@H]%10O[C@H]9C[C@@H](C)[C@H]8O[C@H]7C[C@H]6O[C@@]5(C)C/C=C\[C@H]4O[C@H]3C[C@H]2O1,"InChI=1S/C50H70O14/c1-25(24-51)14-28-17-37(52)50(8)41(54-28)19-33-34(61-50)18-32-29(55-33)10-9-12-46(4)42(58-32)23-49(7)40(62-46)21-39-47(5,64-49)13-11-30-44(60-39)26(2)15-31-36(56-30)22-48(6)38(57-31)20-35-45(63-48)27(3)16-43(53)59-35/h9-10,16,24,26,28-42,44-45,52H,1,11-15,17-23H2,2-8H3/b10-9-/t26-,28+,29-,30+,31+,32+,33+,34-,35+,36-,37+,38-,39+,40-,41-,42-,44-,45-,46+,47-,48+,49+,50+/m1/s1",LYTCVQQGCSNFJU-LKGYBJPKSA-N,C50H70O14,895.10,5.47,,14,1,155.90,3,3,0,64,0.16,,,,1,-1,0,Small molecule,,,False,,,CHEMBL216458,MOL,,False
CHEMBL3,NICOTINE,Habitrol; Nicabate; Nicoderm cq; Nicopass; Nicopatch; Nicorette invisi; Nicotine; Nicotine; Nicotine; Nicotine,CN1CCC[C@H]1c1cccnc1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",SNICXCGAKADSCV-JTQLQIEISA-N,C10H14N2,162.24,1.85,,2,0,16.13,1,0,1,12,0.63,,,,1,0,0,Small molecule,4.0,1984,True,schizophrenia; Parkinson disease; post operative nausea and vomiting; cocaine dependence; cervical cancer; depressive disorder; memory impairment; sarcoma; carcinoma; cannabis dependence; pulmonary sarcoidosis; COVID-19; severe acute respiratory syndrome; chronic obstructive pulmonary disease; smoking behavior; drug dependence; smoking cessation; Cognitive impairment; alcohol drinking; nicotine dependence; sarcoidosis; injury; lung cancer; attention deficit hyperactivity disorder; heart failure,"""Severe Acute Respiratory Syndrome; Sarcoma; Marijuana Abuse; Heart Failure; Tobacco Use Disorder; Attention Deficit Disorder with Hyperactivity; Smoking Cessation; Smoking; Uterine Cervical Neoplasms; Schizophrenia; Memory Disorders; Wounds and Injuries; Cognitive Dysfunction; Alcohol Drinking; Carcinoma; Parkinson Disease; Pulmonary Disease, Chronic Obstructive; Depressive Disorder; Sarcoidosis; Substance-Related Disorders; Cocaine-Related Disorders; Sarcoidosis, Pulmonary; Postoperative Nausea and Vomiting; Lung Neoplasms""",CHEMBL3,MOL,,False
CHEMBL6200,NORNICOTINE,1'-demethylnicotine; 3-(2-pyrrolidinyl)-(s)-pyridine; Nicotine related compound f; Nornicotine; Nornicotine,c1cncc([C@@H]2CCCN2)c1,"InChI=1S/C9H12N2/c1-3-8(7-10-5-1)9-4-2-6-11-9/h1,3,5,7,9,11H,2,4,6H2/t9-/m0/s1",MYKUKUCHPMASKF-VIFPVBQESA-N,C9H12N2,148.21,1.51,,2,1,24.92,1,0,1,11,0.65,,,,1,0,0,Small molecule,1.0,,False,,,CHEMBL6200,MOL,,False
CHEMBL5,NALIDIXIC ACID,Acide nalidixique; Acido nalidixico; Mictral; Nalidixane; Nalidixate; Nalidixic acid; Nalidixic acid; Nalidixic acid; Nalidixic acid; Nalidixic acid,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,"InChI=1S/C12H12N2O3/c1-3-14-6-9(12(16)17)10(15)8-5-4-7(2)13-11(8)14/h4-6H,3H2,1-2H3,(H,16,17)",MHWLWQUZZRMNGJ-UHFFFAOYSA-N,C12H12N2O3,232.24,1.42,,4,1,72.19,2,0,2,17,0.85,,,,1,0,0,Small molecule,4.0,1964,True,osteomyelitis; bacterial disease,Osteomyelitis; Bacterial Infections,CHEMBL5,MOL,,False
CHEMBL6246,ELLAGIC ACID,Acide ellagique; Acido elagico; Ellagic acid; Ellagic acid; NSC-407286; NSC-656272,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,"InChI=1S/C14H6O8/c15-5-1-3-7-8-4(14(20)22-11(7)9(5)17)2-6(16)10(18)12(8)21-13(3)19/h1-2,15-18H",AFSDNFLWKVMVRB-UHFFFAOYSA-N,C14H6O8,302.19,1.31,,8,4,141.34,0,0,4,22,0.22,,,,1,0,0,Small molecule,2.0,,False,follicular lymphoma; metabolic syndrome,"""Metabolic Syndrome; Lymphoma, Follicular""",CHEMBL6246,MOL,,False
CHEMBL6,INDOMETHACIN,Aconip; Artracin; Artracin sr; Berlind 75 ret; Durametacin; Flexin-25 continus; Flexin-50 continus; Flexin-75 continus; Imbrilon; Indocid-r,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,"InChI=1S/C19H16ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9H,10H2,1-2H3,(H,22,23)",CGIGDMFJXJATDK-UHFFFAOYSA-N,C19H16ClNO4,357.79,3.93,,4,1,68.53,4,0,3,25,0.77,,,,1,0,0,Small molecule,4.0,1965,True,inflammation; pain; Langerhans Cell Histiocytosis; cardiovascular disease; Fish-eye disease; pancreatitis; metastatic prostate cancer; Arthralgia; acute pancreatitis; head and neck squamous cell carcinoma; chronic pancreatitis; ankylosing spondylitis; breast cancer; toothache; prostate cancer; Myalgia; prostate adenocarcinoma; Patent ductus arteriosus; renal colic; eye inflammation; cutaneous melanoma; rheumatic disease; orthostatic hypotension; premature birth; gout,"""Spondylitis, Ankylosing; Premature Birth; Acute Pain; Arthritis, Gouty; Pancreatitis; Lecithin Cholesterol Acyltransferase Deficiency; Eye Diseases; Ductus Arteriosus, Patent; Renal Colic; Breast Neoplasms; Myalgia; Carcinoma, Squamous Cell; Hypotension, Orthostatic; Histiocytosis, Langerhans-Cell; Prostatic Neoplasms; Cardiovascular Diseases; Pancreatitis, Chronic; Melanoma; Rheumatic Diseases; Inflammation; Toothache; Prostatic Neoplasms, Castration-Resistant; Arthralgia""",CHEMBL6,MOL,,True
CHEMBL440577,,,COC(=O)[C@@H](N)CO,"InChI=1S/C4H9NO3/c1-8-4(7)3(5)2-6/h3,6H,2,5H2,1H3/t3-/m0/s1",ANSUDRATXSJBLY-VKHMYHEASA-N,C4H9NO3,119.12,-1.52,,4,2,72.55,2,0,0,8,0.43,,,,1,-1,0,Small molecule,,,False,,,CHEMBL440577,MOL,,False
CHEMBL403,SULBACTAM,CP-458992; NSC-759886; Sulbactam; Sulbactam; Sulbactam; Sulbactam; Sulbactam; Sulbactam,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,"InChI=1S/C8H11NO5S/c1-8(2)6(7(11)12)9-4(10)3-5(9)15(8,13)14/h5-6H,3H2,1-2H3,(H,11,12)/t5-,6+/m1/s1",FKENQMMABCRJMK-RITPCOANSA-N,C8H11NO5S,233.24,-0.79,,4,1,91.75,1,0,0,15,0.60,,,,1,0,0,Small molecule,4.0,1986,False,chorioamnionitis; Cleft palate; infection; bacterial disease; urinary tract infection; osteomyelitis,Chorioamnionitis; Urinary Tract Infections; Bacterial Infections; Cleft Palate; Infections; Osteomyelitis,CHEMBL403,MOL,,False
