Name of the Plant,Family,Common Name,Link
Abelmoschus esculentus  (L.) Moench,MALVACEAE,"Bhindi, Bhindi tori",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003881&column=szBarcode
Abelmoschus ficulneus  (L.) Wight & Arn.,MALVACEAE,Ran Bhendi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003882&column=szBarcode
Abelmoschus manihot  (L.) Medik.,MALVACEAE,"Jangli Bhindi, Kantalo Bhendo (Guj.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003879&column=szBarcode
Abelmoschus moschatus  Medik.,MALVACEAE,"Muskdana, Kasturi dana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003878&column=szBarcode
Abies spectabilis  (D. Don) Spach.,PINACEAE,"Talish patra, Gobra salla (Nepal)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009739&column=szBarcode
Abroma agusta  (L.) L.f.,STERCULIACEAE,Ulatkambal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003861&column=szBarcode
Abrus precatorius  L.,FABACEAE,"Ratti, Ghungchi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003654&column=szBarcode
Abutilon hirtum  (Lam.) Sweet,MALVACEAE,Barakanghi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003898&column=szBarcode
Abutilon indicum  (L.) Sweet,MALVACEAE,"Kanghi, Kakahi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003895&column=szBarcode
Abutilon pannosum  (Forst.) Schlect.,MALVACEAE,Kakrai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003896&column=szBarcode
Abutilon theophrastii  Medik.,MALVACEAE,Indian Mallow (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003897&column=szBarcode
Acacia catechu  (L.f.) Willd.,MIMOSACEAE,Khair,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003537&column=szBarcode
Acacia farnesiana  (L.) Willd.,MIMOSACEAE,Vilayati kikar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003548&column=szBarcode
Acacia jacquemontii  Benth.,MIMOSACEAE,"Kikar, Babul (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003539&column=szBarcode
Acacia leucophloea  (Roxb.) Willd.,MIMOSACEAE,"Safed kikar, Arimeda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003540&column=szBarcode
Acacia modesta  Wall.,MIMOSACEAE,Phulai (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003532&column=szBarcode
Acacia nilotica  (L.) Willd. ex Delile,MIMOSACEAE,"Kirkar, Babula",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003542&column=szBarcode
Acacia pennata  (L.) Willd.,MIMOSACEAE,"Aila, Biswal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003528&column=szBarcode
Acacia rugata  (Lam.) Merr.,MIMOSACEAE,"Kochi, Ritha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003535&column=szBarcode
Acacia senegal  (L.) Willd.,MIMOSACEAE,Goradio-babul (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003534&column=szBarcode
Acacia torta  (Roxb.) Craib,MIMOSACEAE,Aila,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003536&column=szBarcode
Acalypha fruticosa  Forsk.,EUPHORBIACEAE,Chinniaka (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008970&column=szBarcode
Acalypha indica  L.,EUPHORBIACEAE,"Kuppi, Khokli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008971&column=szBarcode
Acalypha racemosa  Wall. ex Bailley,EUPHORBIACEAE,Valia-kuppameni (Finnish),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008969&column=szBarcode
Acampe papillosa  (Lindl.) Lindl.,ORCHIDACEAE,Alasyakampa (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003156&column=szBarcode
Acanthus illicifolius  L.,ACANTHACEAE,Hargoza,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009055&column=szBarcode
Achillea millefolium  L.,ASTERACEAE,"Gandana, Roojamari (Kan.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013619&column=szBarcode
Achyranthes aspera  L.,AMARANTHACEAE,Latjira,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008913&column=szBarcode
Achyranthes bidentata  Blume,AMARANTHACEAE,Apamarga (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008912&column=szBarcode
Aconitum balfourii  Stapf,RANUNCULACEAE,Gobari (West Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009929&column=szBarcode
Aconitum bisma  (Buch. -Ham.) Rapaics,RANUNCULACEAE,Bikhima,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009935&column=szBarcode
Aconitum chasmanthum  Holmes ex Stapf,RANUNCULACEAE,"Bisha, Ban-bal-nag (Kashmir)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009930&column=szBarcode
Aconitum falconeri  Stapf,RANUNCULACEAE,Bis (Gharwal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009927&column=szBarcode
Aconitum heterophyllum  Wall. ex Royle,RANUNCULACEAE,Atis,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009938&column=szBarcode
Aconitum laciniatum  (Bruhl) Stapf,RANUNCULACEAE,Kalo bikhoma (Sikkim),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009933&column=szBarcode
Aconitum novoluridum  Munz,RANUNCULACEAE,Mahoor,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009928&column=szBarcode
Aconitum spicatum  (Bruhl) Stapf,RANUNCULACEAE,Bikh or Bish (Nepal & Sikkim),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009934&column=szBarcode
Aconitum violaceum  Jacq. Ex Stapf,RANUNCULACEAE,Tilia Kachang (Sutlej Basin),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009931&column=szBarcode
Acorus calamus  L.,ARACEAE,"Bach, Gora-bach",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003221&column=szBarcode
Acronychia pedunculata  (L.) Miq.,RUTACEAE,Paowlay (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009965&column=szBarcode
Actaea spicata  L.,RANUNCULACEAE,Vishaphala (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009925&column=szBarcode
Actiniopteris radiata(Swartz)  Link,ACTINIOPTERIDACEAE,"Morpankhi, Morshikha (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003275&column=szBarcode
Actinodaphne hookeri  Meissn.,LAURACEAE,Tudambo (Oriya),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008845&column=szBarcode
Adansonia digitata  L.,BOMBACACEAE,"Gorak, Amli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003871&column=szBarcode
Adenanthera pavonia  L.,MIMOSACEAE,"Barigumchi, Kunchandana (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003924&column=szBarcode
Adenia wightiana  (Wall. ex Wight & Arn.) Engl.,PASSIFLORACEAE,Perumkorattaikodi (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013800&column=szBarcode
Adenostemma lavenia  (L.) Kuntze,ASTERACEAE,Jangli-jira,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013621&column=szBarcode
Adiantum capillus-veneris  L.,ADIANTACEAE,"Hansraj, Mubaraka",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003282&column=szBarcode
Adiantum caudatum  L.,ADIANTACEAE,Mayurshikha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003284&column=szBarcode
Adiantum philippense  L.,ADIANTACEAE,Kalijhant,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003285&column=szBarcode
