Name of the Plant,Family,Common Name,Link,Uses
Abelmoschus esculentus  (L.) Moench,MALVACEAE,"Bhindi, Bhindi tori",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003881&column=szBarcode,"""UNKNOWN USE"""
Abelmoschus ficulneus  (L.) Wight & Arn.,MALVACEAE,Ran Bhendi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003882&column=szBarcode,"""UNKNOWN USE"""
Abelmoschus manihot  (L.) Medik.,MALVACEAE,"Jangli Bhindi, Kantalo Bhendo (Guj.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003879&column=szBarcode,"""UNKNOWN USE"""
Abelmoschus moschatus  Medik.,MALVACEAE,"Muskdana, Kasturi dana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003878&column=szBarcode,"""UNKNOWN USE"""
Abies spectabilis  (D. Don) Spach.,PINACEAE,"Talish patra, Gobra salla (Nepal)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009739&column=szBarcode,"""UNKNOWN USE"""
Abroma agusta  (L.) L.f.,STERCULIACEAE,Ulatkambal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003861&column=szBarcode,"""UNKNOWN USE"""
Abrus precatorius  L.,FABACEAE,"Ratti, Ghungchi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003654&column=szBarcode,"""UNKNOWN USE"""
Abutilon hirtum  (Lam.) Sweet,MALVACEAE,Barakanghi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003898&column=szBarcode,"""UNKNOWN USE"""
Abutilon indicum  (L.) Sweet,MALVACEAE,"Kanghi, Kakahi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003895&column=szBarcode,"""UNKNOWN USE"""
Abutilon pannosum  (Forst.) Schlect.,MALVACEAE,Kakrai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003896&column=szBarcode,"""UNKNOWN USE"""
Abutilon theophrastii  Medik.,MALVACEAE,Indian Mallow (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003897&column=szBarcode,"""UNKNOWN USE"""
Acacia catechu  (L.f.) Willd.,MIMOSACEAE,Khair,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003537&column=szBarcode,"""UNKNOWN USE"""
Acacia farnesiana  (L.) Willd.,MIMOSACEAE,Vilayati kikar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003548&column=szBarcode,"""UNKNOWN USE"""
Acacia jacquemontii  Benth.,MIMOSACEAE,"Kikar, Babul (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003539&column=szBarcode,"""UNKNOWN USE"""
Acacia leucophloea  (Roxb.) Willd.,MIMOSACEAE,"Safed kikar, Arimeda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003540&column=szBarcode,"""UNKNOWN USE"""
Acacia modesta  Wall.,MIMOSACEAE,Phulai (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003532&column=szBarcode,"""UNKNOWN USE"""
Acacia nilotica  (L.) Willd. ex Delile,MIMOSACEAE,"Kirkar, Babula",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003542&column=szBarcode,"""UNKNOWN USE"""
Acacia pennata  (L.) Willd.,MIMOSACEAE,"Aila, Biswal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003528&column=szBarcode,"""UNKNOWN USE"""
Acacia rugata  (Lam.) Merr.,MIMOSACEAE,"Kochi, Ritha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003535&column=szBarcode,"""UNKNOWN USE"""
Acacia senegal  (L.) Willd.,MIMOSACEAE,Goradio-babul (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003534&column=szBarcode,"""UNKNOWN USE"""
Acacia torta  (Roxb.) Craib,MIMOSACEAE,Aila,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003536&column=szBarcode,"""UNKNOWN USE"""
Acalypha fruticosa  Forsk.,EUPHORBIACEAE,Chinniaka (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008970&column=szBarcode,"""UNKNOWN USE"""
Acalypha indica  L.,EUPHORBIACEAE,"Kuppi, Khokli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008971&column=szBarcode,"""UNKNOWN USE"""
Acalypha racemosa  Wall. ex Bailley,EUPHORBIACEAE,Valia-kuppameni (Finnish),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008969&column=szBarcode,"""UNKNOWN USE"""
Acampe papillosa  (Lindl.) Lindl.,ORCHIDACEAE,Alasyakampa (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003156&column=szBarcode,"""UNKNOWN USE"""
Acanthus illicifolius  L.,ACANTHACEAE,Hargoza,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009055&column=szBarcode,"""UNKNOWN USE"""
Achillea millefolium  L.,ASTERACEAE,"Gandana, Roojamari (Kan.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013619&column=szBarcode,"""UNKNOWN USE"""
Achyranthes aspera  L.,AMARANTHACEAE,Latjira,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008913&column=szBarcode,"""UNKNOWN USE"""
Achyranthes bidentata  Blume,AMARANTHACEAE,Apamarga (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008912&column=szBarcode,"""UNKNOWN USE"""
