Name of the Plant,Family,Common Name,Link,Uses
Abelmoschus esculentus  (L.) Moench,MALVACEAE,"Bhindi, Bhindi tori",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003881&column=szBarcode,"""From the fruits a mucilaginous preparation is made which are considered benificial as plasma replacement or blood volume expander. The immature capsules  of the plant are used as demulcent,  diuretic and the seeds  of the plant are used as antispasmodic, cordial and stimulant."""
Abelmoschus ficulneus  (L.) Wight & Arn.,MALVACEAE,Ran Bhendi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003882&column=szBarcode,"""The fruits of the plant have high content of vitamin C than Abelmoschus esculentus."""
Abelmoschus manihot  (L.) Medik.,MALVACEAE,"Jangli Bhindi, Kantalo Bhendo (Guj.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003879&column=szBarcode,"""The bark of the plant is used as emmenagogue."""
Abelmoschus moschatus  Medik.,MALVACEAE,"Muskdana, Kasturi dana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003878&column=szBarcode,"""The seed of the plant is musk scented and is known as- Ambrette seeds or Grams-d?Ambrett and is used as stimulant, tonic and carminative."""
Abies spectabilis  (D. Don) Spach.,PINACEAE,"Talish patra, Gobra salla (Nepal)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009739&column=szBarcode,"""Leaves are carminative in nature and is, used for relieving cough and phthisis."""
Abroma agusta  (L.) L.f.,STERCULIACEAE,Ulatkambal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003861&column=szBarcode,"""For emmenagogue and  uterine tonic roots are used.  The leaves of the plant is used for diabetes, rheumatic pains, sinusitis and  uterine disorders. Cholesterol level in blood is reduced by using the fatty oil which is rich in linoleic acid obtained from the seeds of the plant."""
Abrus precatorius  L.,FABACEAE,"Ratti, Ghungchi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003654&column=szBarcode,"""Glycyrrhizin the main constituent of liquorice is obtained from the roots and leaves and the decoction of it is given for coughs and colds. The roots of the plant is having diuretic, tonic, and emetic properties. The seeds of the plant is prescribed in infections of nervous system. The seed paste is applied locally in sciatica, stiffness of shoulder joints and paralysis. Protein which is extracted from the seeds shows anti-tumour activity on Yeshida s"""
Abutilon hirtum  (Lam.) Sweet,MALVACEAE,Barakanghi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003898&column=szBarcode,"""The plant is employed as febrifuge, antiemetic, and anti-inflammatory and also used in urinary troubles and lumbago. The bark of the plant is having astringent and diuretic properties. Leaves extract is diuretic and demulcent. The roots of the plant used as a nervine tonic and antipyretic; also used in piles. It is also used with chaulmugra oil for leucoderma. The seeds  of the plant known as-Balbij are rich in mucilage and is having laxative and demu"""
Abutilon indicum  (L.) Sweet,MALVACEAE,"Kanghi, Kakahi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003895&column=szBarcode,"""The plant is employed as febrifuge, antiemetic, and anti-inflammatory and also used in urinary troubles and lumbago. The bark of the plant is having astringent and diuretic properties. Leaves extract is diuretic and demulcent. The roots of the plant used as a nervine tonic and antipyretic; also used in piles. It is also used with chaulmugra oil for leucoderma. The seeds  of the plant known as-Balbij are rich in mucilage and is having laxative and demu"""
Abutilon pannosum  (Forst.) Schlect.,MALVACEAE,Kakrai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003896&column=szBarcode,"""The leaves of the plant containing the  mucilage is used in piles and pectoral."""
Abutilon theophrastii  Medik.,MALVACEAE,Indian Mallow (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003897&column=szBarcode,"""The decoction of seeds is used in dysentery and fistula, and also for sore eyes."""
Acacia catechu  (L.f.) Willd.,MIMOSACEAE,Khair,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003537&column=szBarcode,"""Cutch from wood powerful astringent used in urinary and vaginal discharge, antidiarrhoeal, haemostatic; used for treating excessive mucous discharges, haemorrhages, relaxed conditions of gums, throat and mouth, stomatitis, irritable bowel; also used as an antileprotic drug."""
Acacia farnesiana  (L.) Willd.,MIMOSACEAE,Vilayati kikar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003548&column=szBarcode,"""Bark used in stomatitis, ulcers, swollen gums, dental caries, bronchitis, skin diseases."""
Acacia jacquemontii  Benth.,MIMOSACEAE,"Kikar, Babul (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003539&column=szBarcode,"""Bud and bark used in ringworm, other skin disease."""
Acacia leucophloea  (Roxb.) Willd.,MIMOSACEAE,"Safed kikar, Arimeda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003540&column=szBarcode,"""Leaves antisyphilitic and antibacterial. Gum demulcent. Bark bitter, demulcent and cooling used in biliousness and bronchitis."""
Acacia modesta  Wall.,MIMOSACEAE,Phulai (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003532&column=szBarcode,"""Tender twigs, cleared of thorns, are chewed to make brushes (Datoon) for cleaning teeth."""
Acacia nilotica  (L.) Willd. ex Delile,MIMOSACEAE,"Kirkar, Babula",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003542&column=szBarcode,"""Stembark astringent, spasmolytic, hypoglycaemic. Gum demulcent (soothing agent for inflammatory conditions of the respiratory, digestive and urinary tracts). Pods used in urogenital disorders. Seed oil antifungal."""
Acacia pennata  (L.) Willd.,MIMOSACEAE,"Aila, Biswal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003528&column=szBarcode,"""Bark antibilious, antiasthmatic. Leaf stomachic, styptic (for bleeding gum), antiseptic (for scalding of urine). A decoction of young leaves is taken for body pain, headache and fever."""
Acacia rugata  (Lam.) Merr.,MIMOSACEAE,"Kochi, Ritha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003535&column=szBarcode,"""Leaves an infusion is given in malarial fever. Pods and seeds decoction is used to remove dandruff. An ointment is used for skin diseases. Bark extract is used in leprosy."""
Acacia senegal  (L.) Willd.,MIMOSACEAE,Goradio-babul (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003534&column=szBarcode,"""Stembark antiinflammatory, spasmolytic. Root used for dysentery and urinary discharges."""
