chembl_id,drug_name,class,therapeutic_uses,adverse_effects,binding_sites,target_names,target_types,mechanism_of_action,lipophilicity,synonyms
CHEMBL2,PRAZOSIN,Not available,hypertension; post-traumatic stress disorder; nicotine dependence; methamphetamine dependence; Neurogenic bladder; anxiety; nephrolithiasis; alcohol withdrawal; COVID-19; alcohol dependence,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL3,NICOTINE,Not available,nicotine dependence; smoking cessation; memory impairment; post operative nausea and vomiting; alcohol drinking; heart failure; chronic obstructive pulmonary disease; Cognitive impairment; attention deficit hyperactivity disorder; injury; sarcoma; aging; cocaine dependence; cannabis dependence; cervical cancer; in situ carcinoma; substance dependence; lung cancer; severe acute respiratory syndrome; depressive disorder; COVID-19; pulmonary sarcoidosis; carcinoma; schizophrenia; Parkinson disease; tuberculosis; sarcoidosis; smoking behavior,Not available,Not available,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,Neuronal acetylcholine receptor; alpha4/beta2 agonist,Not available,Not available
CHEMBL4,OFLOXACIN,Not available,hearing loss; Otitis media; diabetic foot; osteomyelitis; urinary tract infection; bacterial conjunctivitis; Pelvic Inflammatory Disease; infection; bacterial disease; open-angle glaucoma; ocular hypertension; eye infection; multidrug-resistant tuberculosis; acne; chronic bronchitis; keratitis; otitis externa; glaucoma,neurotoxicity (); musculoskeletal toxicity (),Not available,Bacterial DNA gyrase,PROTEIN COMPLEX,Bacterial DNA gyrase inhibitor,Not available,Not available
CHEMBL5,NALIDIXIC ACID,Not available,osteomyelitis; bacterial disease,Not available,Not available,Bacterial DNA gyrase,PROTEIN COMPLEX,Bacterial DNA gyrase inhibitor,Not available,Not available
CHEMBL6,INDOMETHACIN,Not available,pancreatitis; premature birth; ankylosing spondylitis; eye inflammation; Arthralgia; Fish-eye disease; Myalgia; cardiovascular disease; rheumatic disease; renal colic; head and neck squamous cell carcinoma; metastatic prostate cancer; cutaneous melanoma; orthostatic hypotension; Langerhans Cell Histiocytosis; inflammation; gout; pain; prostate adenocarcinoma; Patent ductus arteriosus; chronic pancreatitis; toothache; acute pancreatitis; breast cancer; prostate cancer; squamous cell intraepithelial neoplasia; hemorrhage; oral squamous cell carcinoma; COVID-19; rheumatoid arthritis; spondylitis; Alzheimer disease; asthma; osteoarthritis,neurotoxicity (); gastrointestinal toxicity (); cardiotoxicity (),Not available,Cyclooxygenase,PROTEIN FAMILY,Cyclooxygenase inhibitor,Not available,Not available
CHEMBL403,SULBACTAM,Not available,infection; osteomyelitis; Cleft palate; pyelonephritis; bacterial disease; chorioamnionitis,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL404,TAZOBACTAM,Not available,"infection; Pseudomonas infection; pancreatic carcinoma; abscess; osteomyelitis; pneumonia; Otitis media; septic shock; bacterial pneumonia; ""Cholecystitis, Acute""; diabetic foot; Sepsis; urinary tract infection; infectious disease; ventilator-associated pneumonia; bacterial disease; kidney disease; pyelonephritis; Enterobacteriaceae Infections; graft versus host disease; hematopoietic and lymphoid cell neoplasm; influenza; COVID-19",Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL8,CIPROFLOXACIN,Not available,"anthrax infection; infection; urinary tract infection; autoimmune thrombocytopenic purpura; chronic obstructive pulmonary disease; Crohn's disease; Diarrhea; Bronchiectasis; hepatitis C virus infection; infectious disease; Otitis media; chronic lymphocytic leukemia; acute myeloid leukemia; lymphoma; neoplasm; Pseudomonas infection; osteomyelitis; pneumonia; lung disease; hearing loss; rhinoscleroma; alcoholic liver cirrhosis; ""Hepatitis, Alcoholic""; Periapical Periodontitis; diabetic foot; cystitis; bacterial disease; peritonitis; otitis externa; infection; gastrointestinal disease; pyelonephritis; eye infection; Fever; Liver abscess; Sepsis; urinary bladder cancer; neutropenia; breast cancer; prostate cancer; urolithiasis; pancreatic ductal adenocarcinoma; abscess; prostatitis; Yersinia pestis infectious disease; gonorrhea; chronic bronchitis; typhoid fever; sinusitis; pancreatic carcinoma; bacteriemia; gastroenteritis; amyotrophic lateral sclerosis; cataract; cystic fibrosis; endophthalmitis; rheumatoid arthritis",neurotoxicity (); musculoskeletal toxicity (),Not available,Bacterial DNA gyrase; Topoisomerase IV,PROTEIN COMPLEX,Topoisomerase IV; Bacterial DNA gyrase inhibitor,Not available,Not available
CHEMBL9,NORFLOXACIN,Not available,cirrhosis of liver; osteomyelitis; Hepatopulmonary Syndrome; bacterial disease; peritonitis; esophageal varices; eye infection; cystitis,Not available,Not available,Bacterial DNA gyrase; Topoisomerase IV,PROTEIN COMPLEX,Topoisomerase IV inhibitor; Bacterial DNA gyrase inhibitor,Not available,Not available
CHEMBL405,AMPHETAMINE,Not available,cocaine dependence; attention deficit hyperactivity disorder; cognition,misuse (),Not available,Norepinephrine transporter; Dopamine transporter,SINGLE PROTEIN,Norepinephrine transporter releasing agent; Dopamine transporter releasing agent,Not available,Not available
CHEMBL6622,ISOSORBIDE DINITRATE,Not available,cardiovascular disease; congestive heart failure; diabetic foot; Myocardial Ischemia; hemorrhoid; coronary artery disease; angina pectoris; Duchenne muscular dystrophy,Not available,"Heterodimer, beta (1 or 2) is binding site",Soluble guanylate cyclase,PROTEIN COMPLEX GROUP,Soluble guanylate cyclase activator,Not available,Not available
CHEMBL6437,MIANSERIN,Not available,unipolar depression; anxiety; Dementia; depressive disorder; schizophrenia,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL11,IMIPRAMINE,Not available,unipolar depression; gastroesophageal reflux disease; anxiety; Dementia; myocardial infarction; sudden cardiac arrest; ventricular fibrillation; dysthymic disorder; Chest pain; gastrointestinal disease; Low back pain; breast cancer; somatoform disorder; depressive disorder; schizophrenia; actinic keratosis; Stress urinary incontinence,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL406,INDAPAMIDE,Not available,hypertension; cardiovascular disease; congestive heart failure; preeclampsia; chronic progressive multiple sclerosis; type 2 diabetes mellitus; essential hypertension,Not available,Not available,Thiazide-sensitive sodium-chloride cotransporter,SINGLE PROTEIN,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Not available,Not available
CHEMBL407,FLUMAZENIL,Not available,insomnia; obsessive-compulsive disorder; drug dependence; anxiety; narcolepsy; idiopathic hypersomnia; Parkinson disease; alcohol dependence; fragile X syndrome; dental phobia,neurotoxicity (),Benzodiazepine site,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,GABA-A receptor; anion channel allosteric antagonist,Not available,Not available
CHEMBL408,TROGLITAZONE,Not available,diabetes mellitus; sarcoma,hepatotoxicity (); hepatotoxicity (); hepatotoxicity (); hepatotoxicity (),Not available,Peroxisome proliferator-activated receptor gamma,SINGLE PROTEIN,Peroxisome proliferator-activated receptor gamma agonist,Not available,Not available
CHEMBL409,BICALUTAMIDE,Not available,prostate adenocarcinoma; metastatic prostate cancer; prostate carcinoma; breast carcinoma; breast neoplasm; neoplasm; Gynecomastia; precocious puberty; peritoneum cancer; fallopian tube cancer; salivary gland cancer; breast cancer; ovarian cancer; prostate cancer; severe acute respiratory syndrome; COVID-19; carcinoma; urinary bladder cancer,Not available,Not available,Androgen Receptor,SINGLE PROTEIN,Androgen Receptor antagonist,Not available,Not available
