drug_name, chembl_id, molecular_weight, logP, polar_surface_area, h_bond_donors, h_bond_acceptors, is_natural_product, current_indications
"NOREPINEPHRINE", "CHEMBL1437", 169.18, 0.09, 86.71, 4, 4, TRUE, "depressive disorder; Cognitive impairment; orthostatic hypotension; cardiovascular disease; inflammation; "
"SULFACETAMIDE SODIUM", "CHEMBL1723241", 214.25, 0.09, 89.26, 2, 4, FALSE, "acne; inflammation; "
"EPINEPHRINE", "CHEMBL679", 183.21, 0.35, 72.72, 4, 4, TRUE, "depressive disorder; lung cancer; injury; heart failure; Cognitive impairment; "
"CEPHALEXIN", "CHEMBL1200544", 347.4, 0.44, 112.73, 3, 5, FALSE, "urinary tract infection; Otitis media; bacterial disease; infection; breast cancer; "
"LACOSAMIDE", "CHEMBL58323", 250.3, 0.45, 67.43, 2, 3, TRUE, "alcohol dependence; anxiety; depressive disorder; schizophrenia; osteoarthritis; "
"TIMOLOL", "CHEMBL499", 316.43, 0.5, 79.74, 2, 8, TRUE, "injury; glaucoma; ocular hypertension; open-angle glaucoma; cardiovascular disease; "
"CIMETIDINE", "CHEMBL30", 252.35, 0.6, 88.89, 3, 4, TRUE, "chronic obstructive pulmonary disease; infection; breast cancer; hemorrhage; amyotrophic lateral sclerosis; "
"MERCAPTOPURINE", "CHEMBL1200751", 152.18, 0.64, 54.46, 2, 4, FALSE, "ulcerative colitis; Langerhans Cell Histiocytosis; lymphoma; acute myeloid leukemia; neoplasm; "
"CANTHARIDIN", "CHEMBL48449", 196.2, 0.64, 52.6, 0, 4, TRUE, "rheumatoid arthritis; inflammation; molluscum contagiosum; "
"AMINOSALICYLIC ACID", "CHEMBL1169", 153.14, 0.67, 83.55, 3, 3, TRUE, "osteomyelitis; ulcerative colitis; Crohn's disease; tuberculosis; pulmonary tuberculosis; "
"MESALAMINE", "CHEMBL704", 153.14, 0.67, 83.55, 3, 3, TRUE, "ulcerative colitis; gastrointestinal disease; Crohn's disease; HIV infection; eosinophilic esophagitis; "
"PENICILLIN V", "CHEMBL615", 350.4, 0.7, 95.94, 2, 5, TRUE, "bacterial disease; infection; osteomyelitis; pneumonia; arthritis; "
"OXYCODONE", "CHEMBL656", 315.37, 1.05, 59.0, 1, 5, TRUE, "nephrolithiasis; depressive disorder; drug dependence; Parkinson disease; toothache; "
"AZATHIOPRINE", "CHEMBL1542", 277.27, 1.15, 115.42, 1, 8, TRUE, "rheumatoid arthritis; gout; ulcerative colitis; lung disease; kidney disease; "
"CARMUSTINE", "CHEMBL513", 214.05, 1.16, 61.77, 1, 3, TRUE, "sarcoma; prostate cancer; breast cancer; cutaneous melanoma; lymphoma; "
"METHYL SALICYLATE", "CHEMBL108545", 152.15, 1.18, 46.53, 1, 3, TRUE, "Myalgia; injury; pain; Muscle spasm; arthritis; "
"AMOBARBITAL", "CHEMBL267894", 226.28, 1.18, 75.27, 2, 3, TRUE, "osteoarthritis; "
"MORPHINE SULFATE", "CHEMBL2103744", 285.34, 1.2, 52.93, 2, 4, FALSE, "drug dependence; pain; Low back pain; myocardial infarction; sickle cell anemia; "
"ABROCITINIB", "CHEMBL3655081", 323.42, 1.25, 90.98, 2, 5, FALSE, "sarcoidosis; kidney disease; atopic eczema; psoriasis; type 1 diabetes mellitus; "
"TRIMETHOPRIM", "CHEMBL22", 290.32, 1.26, 105.51, 2, 7, TRUE, "chronic obstructive pulmonary disease; urinary tract infection; Otitis media; bacterial disease; infection; "
"NALOXONE", "CHEMBL80", 327.38, 1.3, 70.0, 2, 5, TRUE, "drug dependence; Parkinson disease; pain; osteoarthritis; hepatitis C virus infection; "
"NIZATIDINE", "CHEMBL3183075", 331.47, 1.32, 83.33, 2, 8, TRUE, "gastroesophageal reflux disease; Peptic ulcer; duodenal ulcer; dyspepsia; gastroparesis; "
"SULFAMETHOXAZOLE", "CHEMBL443", 253.28, 1.37, 98.22, 2, 5, TRUE, "chronic obstructive pulmonary disease; urinary tract infection; bacterial disease; infection; osteomyelitis; "
"RANITIDINE", "CHEMBL1790041", 314.41, 1.46, 83.58, 2, 7, TRUE, "orthostatic hypotension; breast cancer; gastroesophageal reflux disease; breast carcinoma; immune system disease; "
"RANITIDINE HYDROCHLORIDE", "CHEMBL2110372", 314.41, 1.46, 83.58, 2, 7, FALSE, "HIV infection; gastric ulcer; duodenal ulcer; ulcer disease; dyspepsia; "
"RANITIDINE BISMUTH CITRATE", "CHEMBL2111286", 314.41, 1.46, 83.58, 2, 7, FALSE, "gastroesophageal reflux disease; Helicobacter pylori infectious disease; Peptic ulcer; "
"CODEINE", "CHEMBL485", 299.37, 1.5, 41.93, 1, 4, TRUE, "toothache; pain; osteoarthritis; sickle cell anemia; Constipation; "
"NEPAFENAC", "CHEMBL1021", 254.29, 1.53, 86.18, 2, 3, TRUE, "eye inflammation; pain; inflammation; cataract; Miosis; "
"NALTREXONE", "CHEMBL19019", 341.41, 1.53, 70.0, 2, 5, TRUE, "alcohol dependence; nicotine dependence; methamphetamine dependence; post-traumatic stress disorder; COVID-19; "
"TOFACITINIB CITRATE", "CHEMBL2103743", 312.38, 1.54, 88.91, 1, 5, FALSE, "rheumatoid arthritis; ankylosing spondylitis; atopic eczema; systemic lupus erythematosus; psoriatic arthritis; "
"TOFACITINIB", "CHEMBL221959", 312.38, 1.54, 88.91, 1, 5, TRUE, "COVID-19; sarcoidosis; injury; rheumatoid arthritis; ankylosing spondylitis; "
"OFLOXACIN", "CHEMBL4", 361.37, 1.54, 75.01, 1, 6, FALSE, "Pelvic Inflammatory Disease; glaucoma; bacterial conjunctivitis; chronic bronchitis; urinary tract infection; "
"LEVOFLOXACIN", "CHEMBL5315124", 361.37, 1.54, 75.01, 1, 6, FALSE, "Pelvic Inflammatory Disease; COVID-19; chronic obstructive pulmonary disease; sarcoidosis; bacterial conjunctivitis; "
"PIROXICAM", "CHEMBL527", 331.35, 1.58, 99.6, 2, 5, TRUE, "Arthralgia; Myalgia; injury; rheumatoid arthritis; rheumatic disease; "
"CIPROFLOXACIN", "CHEMBL8", 331.35, 1.58, 74.57, 2, 5, FALSE, "Diarrhea; Bronchiectasis; nephrolithiasis; chronic obstructive pulmonary disease; chronic bronchitis; "
"ENALAPRIL MALEATE", "CHEMBL1200659", 376.45, 1.6, 95.94, 2, 5, FALSE, "hypertension; heart failure; rheumatoid arthritis; congestive heart failure; preeclampsia; "
"SILDENAFIL", "CHEMBL192", 474.59, 1.61, 113.42, 1, 8, TRUE, "hypertension; COVID-19; Parkinson disease; heart failure; glaucoma; "
"EMPAGLIFLOZIN", "CHEMBL2107830", 450.92, 1.61, 108.61, 4, 7, TRUE, "nephrolithiasis; severe acute respiratory syndrome; heart failure; ulcerative colitis; kidney disease; "
"HYDROMORPHONE HYDROCHLORIDE", "CHEMBL1237055", 285.34, 1.63, 49.77, 1, 4, FALSE, "drug dependence; pain; liver disease; Chronic pain; osteoarthritis, knee; "
"DAPSONE", "CHEMBL1043", 248.31, 1.68, 86.18, 2, 4, TRUE, "COVID-19; sarcoidosis; acne; lung disease; Fever; "
"DAPAGLIFLOZIN", "CHEMBL429910", 408.88, 1.84, 99.38, 4, 6, TRUE, "COVID-19; depressive disorder; heart failure; aging; Alzheimer disease; "
"ATROPINE SULFATE", "CHEMBL2146146", 289.38, 1.93, 49.77, 1, 4, FALSE, "Parkinson disease; Peptic ulcer; post-operative sign or symptom; Myopia; seasonal allergic rhinitis; "
"MELPHALAN", "CHEMBL852", 305.21, 1.93, 66.56, 2, 3, TRUE, "Bronchiectasis; carcinoma; sarcoma; prostate cancer; breast cancer; "
