label,index,key,name,external_id
Compound,0,(+)-Gallocatechin,(+)-Gallocatechin,65084
Compound,1,(+)-Vestitol,(+)-Vestitol,177149
Compound,2,(+)-alpha-Cadinene,(+)-alpha-Cadinene,12306048
Compound,3,(+)-delta-Cadinene,(+)-delta-Cadinene,441005
Compound,4,(+)-gamma-Cadinene,(+)-gamma-Cadinene,6432404
Compound,5,(+)-gamma-Gurjunene,(+)-gamma-Gurjunene,15560285
Compound,6,(-)-Carvomenthone,(-)-Carvomenthone,6432474
Compound,7,(-)-Cyperene,(-)-Cyperene,12308843
Compound,8,(-)-Epiafzelechin,(-)-Epiafzelechin,443639
Compound,9,(-)-Epicatechin,(-)-Epicatechin,72276
Compound,10,(-)-Globulol,(-)-Globulol,12304985
Compound,11,(-)-alpha-Cadinol,(-)-alpha-Cadinol,6431302
Compound,12,(-)-alpha-Himachalene,(-)-alpha-Himachalene,11830551
Compound,13,(-)-beta-Bourbonene,(-)-beta-Bourbonene,62566
Compound,14,(-)-beta-Curcumene,(-)-beta-Curcumene,14014430
Compound,15,(-)-cis-Carveol,(-)-cis-Carveol,330573
Compound,16,(-)-trans-Carveol,(-)-trans-Carveol,94221
Compound,17,"(12R,15R,32S,33R)-4,5,6,14,20,21,22,25,26,27,38,39,40,43,44,55-hexadecahydroxy-2,10,13,16,31,34,46,53-octaoxaundecacyclo[46.7.1.03,8.012,33.015,32.018,23.024,29.036,41.042,51.045,50.049,54]hexapentaconta-1(55),3,5,7,18,20,22,24,26,28,36,38,40,42,44,48(56),49(54),50-octadecaene-9,17,30,35,47,52-hexone","(12R,15R,32S,33R)-4,5,6,14,20,21,22,25,26,27,38,39,40,43,44,55-hexadecahydroxy-2,10,13,16,31,34,46,53-octaoxaundecacyclo[46.7.1.03,8.012,33.015,32.018,23.024,29.036,41.042,51.045,50.049,54]hexapentaconta-1(55),3,5,7,18,20,22,24,26,28,36,38,40,42,44,48(56),49(54),50-octadecaene-9,17,30,35,47,52-hexone",16175790
Compound,18,(1R)-2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-ene,(1R)-2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-ene,6451618
Compound,19,"(1R,2R,5R,6S,10R,11S,12R,15R,16R,18S,19R)-6-(furan-3-yl)-11,16,18-trihydroxy-1,5,10,15-tetramethyl-13-oxapentacyclo[10.6.1.02,10.05,9.015,19]nonadec-8-en-4-one","(1R,2R,5R,6S,10R,11S,12R,15R,16R,18S,19R)-6-(furan-3-yl)-11,16,18-trihydroxy-1,5,10,15-tetramethyl-13-oxapentacyclo[10.6.1.02,10.05,9.015,19]nonadec-8-en-4-one",101306757
Compound,20,"(1R,3S,4R,7R,9S,12S,13R,17S,19R,20R,22S)-9-hydroxy-3,4,8,8,12,19,22-heptamethyl-14-oxo-23-oxahexacyclo[18.2.1.03,16.04,13.07,12.017,22]tricos-15-ene-19-carboxylic acid","(1R,3S,4R,7R,9S,12S,13R,17S,19R,20R,22S)-9-hydroxy-3,4,8,8,12,19,22-heptamethyl-14-oxo-23-oxahexacyclo[18.2.1.03,16.04,13.07,12.017,22]tricos-15-ene-19-carboxylic acid",101280179
Compound,21,"(1S)-1-[(2R,4S,5R)-5-hydroxy-4-[(3S,5R,9R,10R,13S,14S,17S)-3-hydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-17-yl]oxolan-2-yl]-2-methylpropane-1,2-diol","(1S)-1-[(2R,4S,5R)-5-hydroxy-4-[(3S,5R,9R,10R,13S,14S,17S)-3-hydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-17-yl]oxolan-2-yl]-2-methylpropane-1,2-diol",101650343
Compound,22,"(1S,2S,6S,7R,8R)-1,3-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-3-ene","(1S,2S,6S,7R,8R)-1,3-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-3-ene",101607926
Compound,23,"(1S,6S,8S)-1,5-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-4-en-3-one","(1S,6S,8S)-1,5-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-4-en-3-one",102316377
Compound,24,"(1r,3s,5r)-6,6-Dimethyl-2-methylidenebicyclo[3.1.1]heptan-3-ol","(1r,3s,5r)-6,6-Dimethyl-2-methylidenebicyclo[3.1.1]heptan-3-ol",88302
Compound,25,(2E)-2-Methyl-6-(4-methylphenyl)-2-hepten-1-ol,(2E)-2-Methyl-6-(4-methylphenyl)-2-hepten-1-ol,6430906
Compound,26,"(2E)-2-methyl-6-[(1S)-4-methylcyclohex-3-en-1-yl]hepta-2,6-dien-1-ol","(2E)-2-methyl-6-[(1S)-4-methylcyclohex-3-en-1-yl]hepta-2,6-dien-1-ol",15560069
Compound,27,"(2E,4E)-3,7-dimethylocta-2,4,6-trienal","(2E,4E)-3,7-dimethylocta-2,4,6-trienal",11126441
Compound,28,"(2R,3S,5R)-5-[(2S)-3,3-dimethyloxiran-2-yl]-3-[(3S,5R,9R,10R,13S,14S,17S)-3-hydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-17-yl]oxolan-2-ol","(2R,3S,5R)-5-[(2S)-3,3-dimethyloxiran-2-yl]-3-[(3S,5R,9R,10R,13S,14S,17S)-3-hydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-17-yl]oxolan-2-ol",101289709
Compound,29,"(2R,4aS)-4a,8-Dimethyl-2-(prop-1-en-2-yl)-1,2,3,4,4a,5-hexahydronaphthalene","(2R,4aS)-4a,8-Dimethyl-2-(prop-1-en-2-yl)-1,2,3,4,4a,5-hexahydronaphthalene",73015594
Compound,30,"(2R,6S,7S,10Z)-beta-Santala-3(15),10-dien-12-ol","(2R,6S,7S,10Z)-beta-Santala-3(15),10-dien-12-ol",5281532
Compound,31,"(2S)-2-[4-[(2S,3R,4S,5S,6R)-3-[(2R,3S,4S)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-7-hydroxy-2,3-dihydrochromen-4-one","(2S)-2-[4-[(2S,3R,4S,5S,6R)-3-[(2R,3S,4S)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-7-hydroxy-2,3-dihydrochromen-4-one",46232263
