,id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
0,47489,892,Drug Gene Interaction database (DGIdb),Inositol,,INOSITOL,https://www.dgidb.org/drugs/INOSITOL,,TP53,https://www.dgidb.org/genes/TP53,,,7157.0,TP53,9606,Homo sapiens (human),,,,PMID:16733561,https://www.ncbi.nlm.nih.gov/pubmed/16733561,16733561,,
1,47490,892,Drug Gene Interaction database (DGIdb),Inositol,,SCYLLITOL,https://www.dgidb.org/drugs/SCYLLITOL,,APP,https://www.dgidb.org/genes/APP,,,351.0,APP,9606,Homo sapiens (human),,,,,,,,
2,50593,892,Drug Gene Interaction database (DGIdb),Inositol,,INOSITOL,https://www.dgidb.org/drugs/INOSITOL,,CCKBR,https://www.dgidb.org/genes/CCKBR,,,887.0,CCKBR,9606,Homo sapiens (human),,,,PMID:14602717|PMID:8876029,https://www.ncbi.nlm.nih.gov/pubmed/14602717|https://www.ncbi.nlm.nih.gov/pubmed/8876029,14602717|8876029,,
3,53124,892,Drug Gene Interaction database (DGIdb),Inositol,,INOSITOL,https://www.dgidb.org/drugs/INOSITOL,,GRM1,https://www.dgidb.org/genes/GRM1,,,2911.0,GRM1,9606,Homo sapiens (human),,,,PMID:15140199,https://www.ncbi.nlm.nih.gov/pubmed/15140199,15140199,,
4,57148,892,DrugBank,Inositol,DB03106,scyllo-inositol,https://www.drugbank.ca/drugs/DB03106,BE0000978,Glucosylceramidase,https://www.drugbank.ca/bio_entities/BE0000978,P04062,Lysosomal acid glucosylceramidase,2629.0,GBA1,9606,Homo sapiens (human),,,,PMID:17139284|PMID:17016423,https://www.ncbi.nlm.nih.gov/pubmed/17139284|https://www.ncbi.nlm.nih.gov/pubmed/17016423,17139284|17016423,,"Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6.|Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34."
5,57149,892,DrugBank,Inositol,DB03106,scyllo-inositol,https://www.drugbank.ca/drugs/DB03106,BE0001955,1-phosphatidylinositol phosphodiesterase,https://www.drugbank.ca/bio_entities/BE0001955,P14262,1-phosphatidylinositol phosphodiesterase,,,1396,Bacillus cereus,,,,PMID:17139284|PMID:17016423,https://www.ncbi.nlm.nih.gov/pubmed/17139284|https://www.ncbi.nlm.nih.gov/pubmed/17016423,17139284|17016423,,"Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6.|Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34."
6,57150,892,DrugBank,Inositol,DB03106,scyllo-inositol,https://www.drugbank.ca/drugs/DB03106,BE0002199,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,https://www.drugbank.ca/bio_entities/BE0002199,O14735,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,10423.0,CDIPT,9606,Homo sapiens (human),Inhibitor,,,PMID:11752352,https://www.ncbi.nlm.nih.gov/pubmed/11752352,11752352,,"Chen X, Ji ZL, Chen YZ: TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 1;30(1):412-5."
7,57301,892,DrugBank,Inositol,DB03106,scyllo-inositol,https://www.drugbank.ca/drugs/DB03106,BE0002943,1-phosphatidylinositol phosphodiesterase,https://www.drugbank.ca/bio_entities/BE0002943,P34024,1-phosphatidylinositol phosphodiesterase,987032.0,plcA,169963,Listeria monocytogenes EGD-e,,,,,,,,
8,59320,892,Drug Gene Interaction database (DGIdb),Inositol,,INOSITOL,https://www.dgidb.org/drugs/INOSITOL,,IRS1,https://www.dgidb.org/genes/IRS1,,,3667.0,IRS1,9606,Homo sapiens (human),,,,PMID:9693122,https://www.ncbi.nlm.nih.gov/pubmed/9693122,9693122,,
9,70700,892,Drug Gene Interaction database (DGIdb),Inositol,,SCYLLITOL,https://www.dgidb.org/drugs/SCYLLITOL,,APP,https://www.dgidb.org/genes/APP,,,351.0,APP,9606,Homo sapiens (human),,,,,,,,
10,70701,892,Comparative Toxicogenomics Database (CTD),Inositol,D007294,Inositol,https://ctdbase.org/detail.go?type=chem&acc=D007294,196,AHR,https://ctdbase.org/detail.go?type=gene&acc=196,,,196.0,AHR,749192,Homo sapiens (human),Inositol inhibits the reaction [copper results in decreased activity of AHR protein],,,PMID:25087001,https://www.ncbi.nlm.nih.gov/pubmed/25087001,25087001,,
11,70702,892,Comparative Toxicogenomics Database (CTD),Inositol,D007294,Inositol,https://ctdbase.org/detail.go?type=chem&acc=D007294,10533,ATG7,https://ctdbase.org/detail.go?type=gene&acc=10533,,,10533.0,ATG7,10116,Rattus norvegicus (Norway rat),Inositol inhibits the reaction [glucose results in decreased expression of ATG7 protein],,,PMID:35243728,https://www.ncbi.nlm.nih.gov/pubmed/35243728,35243728,,
12,70703,892,Comparative Toxicogenomics Database (CTD),Inositol,D007294,Inositol,https://ctdbase.org/detail.go?type=chem&acc=D007294,8678,BECN1,https://ctdbase.org/detail.go?type=gene&acc=8678,,,8678.0,BECN1,10116,Rattus norvegicus (Norway rat),Inositol inhibits the reaction [glucose results in decreased expression of BECN1 protein],,,PMID:35243728,https://www.ncbi.nlm.nih.gov/pubmed/35243728,35243728,,
13,70704,892,Comparative Toxicogenomics Database (CTD),Inositol,D007294,Inositol,https://ctdbase.org/detail.go?type=chem&acc=D007294,665,BNIP3L,https://ctdbase.org/detail.go?type=gene&acc=665,,,665.0,BNIP3L,10116,Rattus norvegicus (Norway rat),Inositol inhibits the reaction [glucose results in decreased expression of BNIP3L protein],,,PMID:35243728,https://www.ncbi.nlm.nih.gov/pubmed/35243728,35243728,,
