,id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
0,1372690,29327,Comparative Toxicogenomics Database (CTD),Streptozocin,D013311,Streptozocin,https://ctdbase.org/detail.go?type=chem&acc=D013311,5313,PKLR,https://ctdbase.org/detail.go?type=gene&acc=5313,,,5313.0,PKLR,10116,Rattus norvegicus (Norway rat),Cinnamaldehyde inhibits the reaction [streptozocin results in decreased expression of PKLR mrna]|glyburide inhibits the reaction [streptozocin results in decreased expression of PKLR mrna]|streptozocin results in decreased expression of PKLR mRNA,,,PMID:20363216,https://www.ncbi.nlm.nih.gov/pubmed/20363216,20363216.0,,
1,1372691,29327,Comparative Toxicogenomics Database (CTD),Streptozocin,D013311,Streptozocin,https://ctdbase.org/detail.go?type=chem&acc=D013311,5315,PKM,https://ctdbase.org/detail.go?type=gene&acc=5315,,,5315.0,PKM,10090,Mus musculus (house mouse),Streptozocin affects the expression of PKM mRNA,,,PMID:18583417,https://www.ncbi.nlm.nih.gov/pubmed/18583417,18583417.0,,
2,1372692,29327,Comparative Toxicogenomics Database (CTD),Streptozocin,D013311,Streptozocin,https://ctdbase.org/detail.go?type=chem&acc=D013311,7941,PLA2G7,https://ctdbase.org/detail.go?type=gene&acc=7941,,,7941.0,PLA2G7,10090,Mus musculus (house mouse),[streptozocin co-treated with dietary fats] results in increased expression of PLA2G7 mRNA,,,PMID:29127188,https://www.ncbi.nlm.nih.gov/pubmed/29127188,29127188.0,,
3,1372693,29327,Comparative Toxicogenomics Database (CTD),Streptozocin,D013311,Streptozocin,https://ctdbase.org/detail.go?type=chem&acc=D013311,11145,PLAAT3,https://ctdbase.org/detail.go?type=gene&acc=11145,,,11145.0,PLAAT3,10116,Rattus norvegicus (Norway rat),[resveratrol co-treated with streptozocin] results in increased expression of PLAAT3 mRNA,,,PMID:25905778,https://www.ncbi.nlm.nih.gov/pubmed/25905778,25905778.0,,
4,1372694,29327,Comparative Toxicogenomics Database (CTD),Streptozocin,D013311,Streptozocin,https://ctdbase.org/detail.go?type=chem&acc=D013311,5328,PLAU,https://ctdbase.org/detail.go?type=gene&acc=5328,,,5328.0,PLAU,10116,Rattus norvegicus (Norway rat),Streptozocin results in increased expression of PLAU protein|streptozocin results in increased expression of PLAU mrna|benazepril inhibits the reaction [streptozocin results in increased expression of PLAU mrna],,,PMID:15322501,https://www.ncbi.nlm.nih.gov/pubmed/15322501,15322501.0,,
5,1372695,29327,Comparative Toxicogenomics Database (CTD),Streptozocin,D013311,Streptozocin,https://ctdbase.org/detail.go?type=chem&acc=D013311,5328,PLAU,https://ctdbase.org/detail.go?type=gene&acc=5328,,,5328.0,PLAU,10116,Rattus norvegicus (Norway rat),[resveratrol co-treated with streptozocin] results in increased expression of PLAU mRNA,,,PMID:25905778,https://www.ncbi.nlm.nih.gov/pubmed/25905778,25905778.0,,
6,1372319,47936,Comparative Toxicogenomics Database (CTD),Forskolin,D005576,Colforsin,https://ctdbase.org/detail.go?type=chem&acc=D005576,2492,FSHR,https://ctdbase.org/detail.go?type=gene&acc=2492,,,2492.0,FSHR,9913,Bos taurus (cattle),[dihydrotestosterone co-treated with estradiol co-treated with colforsin] results in increased expression of FSHR mrna|[dihydrotestosterone co-treated with colforsin] results in increased expression of FSHR mRNA,,,PMID:16641147,https://www.ncbi.nlm.nih.gov/pubmed/16641147,16641147.0,,
7,1372320,47936,Comparative Toxicogenomics Database (CTD),Forskolin,D005576,Colforsin,https://ctdbase.org/detail.go?type=chem&acc=D005576,10468,FST,https://ctdbase.org/detail.go?type=gene&acc=10468,,,10468.0,FST,9606,Homo sapiens (human),FST protein inhibits the reaction [INHBA protein inhibits the reaction [colforsin results in increased secretion of progesterone]]|fst protein inhibits the reaction [BMP6 protein inhibits the reaction [colforsin results in increased secretion of progesterone]],,,PMID:18936084,https://www.ncbi.nlm.nih.gov/pubmed/18936084,18936084.0,,
8,1372430,47936,Comparative Toxicogenomics Database (CTD),Forskolin,D005576,Colforsin,https://ctdbase.org/detail.go?type=chem&acc=D005576,2538,G6PC1,https://ctdbase.org/detail.go?type=gene&acc=2538,,,2538.0,G6PC1,9606,Homo sapiens (human),Colforsin inhibits the reaction [leflunomide results in increased expression of G6PC1 mrna]|colforsin inhibits the reaction [teriflunomide results in increased expression of G6PC1 mrna],,,PMID:30364229,https://www.ncbi.nlm.nih.gov/pubmed/30364229,30364229.0,,
9,1372431,47936,Comparative Toxicogenomics Database (CTD),Forskolin,D005576,Colforsin,https://ctdbase.org/detail.go?type=chem&acc=D005576,2538,G6PC1,https://ctdbase.org/detail.go?type=gene&acc=2538,,,2538.0,G6PC1,10116,Rattus norvegicus (Norway rat),[dexamethasone co-treated with colforsin] results in increased expression of G6PC1 mRNA,,,PMID:18972406,https://www.ncbi.nlm.nih.gov/pubmed/18972406,18972406.0,,
