,Disease,Disease_id,Gene,Gene_id,Score_gda,Association_Type, Type,Original_DB,Sentence,PMID,PMID_Year
2,Stomatitis,C0038362,GHRL,51738,0.01,GeneticVariation,,BEFREE,"The study results have demonstrated an association between the AA genotype of the <span class=""gene"" id=""29566446-8-82-86"">GHRL</span> gene and the risk of more severe <span class=""disease"" id=""29566446-8-120-134"">oral mucositis</span> attributed to RT in patients with head and neck cancer.",29566446.0,2018.0
4,Stomatitis,C0038362,SLC19A1,6573,0.01,GeneticVariation,,BEFREE,"In addition, there was a trend toward reduced hematological toxicity among patients with variants of <span class=""gene"" id=""25041994-7-101-108"">SLC19A1</span> <span class=""variant"" dbSNP=""rs775144154"" genes_norm=""6573"">G80A</span> in treatment arm 1 (P for trend, .06) and reduced esophagitis/<span class=""disease"" id=""25041994-7-176-186"">stomatitis</span> noted among patients with variants of TSER in treatment arm 3 (P for trend, .06).",25041994.0,2014.0
10,Stomatitis,C0038362,ABCG2,9429,0.01,GeneticVariation,,BEFREE,"Fifty-two Japanese patients with RCC treated with sunitinib were retrospectively genotyped to elucidate a potential association between STAT3, ABCB1, and <span class=""gene"" id=""28381801-4-154-159"">ABCG2</span> polymorphisms and <span class=""disease"" id=""28381801-4-178-188"">stomatitis</span> development.",28381801.0,2017.0
12,Stomatitis,C0038362,IL1B,3553,0.02,GeneticVariation,,LHGDN,Relationship between periodontal findings and specific polymorphisms of interleukin-1alpha and -1beta in Turkish patients with Behçet's disease.,17960403.0,2008.0
16,Stomatitis,C0038362,CNOT4,4850,0.01,GeneticVariation,,BEFREE,"<span class=""disease"" id=""28628559-7-0-14"">Oral mucositis</span> was defined as grade more than or equal to 3 according to the National Cancer Institute criteria. <span class=""variant"" dbSNP=""rs2114358"" genes_norm=""100302170;100302225;1233;4850"">rs2114358</span> in miR-1206 was associated with <span class=""disease"" id=""28628559-7-155-169"">oral mucositis</span> [odds ratio (OR): 3.6; 95% confidence interval (CI): 1.1-11.5], whereas we did <span class=""negexp"">not confirm the association</span> of <span class=""gene"" id=""28628559-7-280-285"">CNOT4</span> <span class=""variant"" dbSNP=""rs3812265"" genes_norm=""100302170;100302225;1233;4850"">rs3812265</span> (OR: 0.69; 95% CI: 0.27-1.80) and miR-2053 <span class=""variant"" dbSNP=""rs10505168"" genes_norm=""100302170;100302225;1233;4850"">rs10505168</span> (OR: 2.50; 95% CI: 0.76-8.24).",28628559.0,2017.0
18,Stomatitis,C0038362,DPYD,1806,0.03,GeneticVariation,,BEFREE,"Two rare <span class=""gene"" id=""30114658-8-9-13"">DPYD</span> variants were associated with increased toxicity (<span class=""variant"" dbSNP=""rs67376798"" genes_norm=""1806"">Asp949Val</span> with neutropenia, nausea and vomiting, diarrhoea and infection; IVS14+1G&gt;A with lethargy, diarrhoea, <span class=""disease"" id=""30114658-8-175-185"">stomatitis</span>, hand-foot syndrome and infection; all ORs &gt; 3).",30114658.0,2018.0
21,Stomatitis,C0038362,GSK3B,2932,0.01,GeneticVariation,,BEFREE,"Moreover, <span class=""gene"" id=""27769064-7-10-15"">GSK3β</span> <span class=""variant"" dbSNP=""rs375557"" genes_norm=""1499;2932"">rs375557</span> and adenomatous polyposis coli gene (APC) <span class=""variant"" dbSNP=""rs454886"" genes_norm=""1499;2932"">rs454886</span> polymorphisms were correlated with acute grade 3-4 radiation-induced dermatitis and <span class=""disease"" id=""27769064-7-160-174"">oral mucositis</span>, respectively.",27769064.0,2016.0
23,Stomatitis,C0038362,TYMS,7298,0.02,GeneticVariation,,BEFREE,"We determined the role of three previously described variants within the <span class=""gene"" id=""30222710-4-73-77"">TYMS</span> gene and MTX-induced <span class=""disease"" id=""30222710-4-99-113"">oral mucositis</span> in a prospective cohort of Dutch children with ALL and performed a meta-analysis of the previous results.",30222710.0,2018.0
26,Stomatitis,C0038362,FBXO3,26273,0.01,GeneticVariation,,BEFREE,"The incidences of diarrhea and severe <span class=""disease"" id=""30337697-6-38-52"">oral mucositis</span> within the first 30 days post-transplantation were lower in the <span class=""gene"" id=""30337697-6-117-120"">FBA</span> group [(28.57% versus 65.45%; P &lt; 0.001) (51.79% versus 70.91%; P = 0.039)].",30337697.0,2019.0
27,Stomatitis,C0038362,XRCC5,7520,0.01,GeneticVariation,,BEFREE,"No association was found between Ku70 (c.-1310C&gt; G), <span class=""gene"" id=""24350917-10-53-57"">Ku80</span> (c.2099-2408G&gt; A, c.*841G&gt; A), DNA-PKcs (c.2888 + 713 C &gt; T) and the development of severe <span class=""disease"" id=""24350917-10-149-163"">oral mucositis</span>.",24350917.0,2014.0
